ramāku,V,,bathe,be(come) drenched in
ramāmu,V,,roar
rapšu,AJ,,extensive,wide
raṣānu,V,,resound
râṣu,V,,rush (to help)
rašû,V,,have
rašubbu,AJ,,terrifying
rēʾûtu,N,,shepherdship
rēšu,N,,beginning
riāšu,V,,rejoice
rigmu,N,,clamour,voice
ruʾʾumu,V,,strike off
rubṣu,N,,bedding
sahāru,V,,convene
sebe,NU,,seven
sehû,V,,wreck
sūqu,N,,street
sūtu,N,,south wind
ṣabātu,V,,seize
ṣēru,N,,back
ṣīru,AJ,,glorious
ṣītu,N,,utterance
ṣubbû,V,,perfect
ṣulūlu,N,,protection
ša,DET,,of
ša,REL,,that,who
šadû,N,,mountain
šahāhu,V,,be(come) despondent
šahātu,N,,side
šahāṭu,V,,strip off
šahṭu,AJ,,stripped
šahurratu,N,,deathly hush
šakānu,V,,bring about,put,set up
šaknu,AJ,,placed,settled
šalummatu,N,,radiance
šamriš,AV,,furiously
šamru,AJ,,furious
šamšu,N,,sun
šamû,N,,heaven
šanû,V,,be(come) changed
šanû,V,,repeat
šapāru,V,,send
šarāhu,V,,make oneself splendid
šarāku,V,,present
šarku,AJ,,bestowed
šarru,N,,king
šarrūtu,N,,kingship
šāru,N,,wind
šasû,V,,call out,call,summon
šašallu,N,,tendon of the hoof or heel
šašmu,N,,(single) combat
šaššāru,N,,saw
šāt,DET,,of
šeʾû,V,,find
šêʾu,V,,fly
šehṭu,N,,attack
šemû,V,,hear
šēpu,N,,foot
šerʾānu,N,,bow string
šerʾu,N,,furrow
šiāšim,IP,,to her
šiltāhu,N,,arrow
šīmtu,N,,destiny,fate
šipru,N,,message
šū,IP,,he
šuāšim,IP,,to him
šubtu,N,,dwelling,seat
šuddulu,AJ,,very wide
šuharruru,V,,be(come) deathly still
šuharruru,AJ,,deathly still
šukênu,V,,prostrate oneself
šukkallu,N,,minister
šukudu,N,,arrow
šuluhhu,N,,purification rite
šumēla,AV,,on the left
šumu,N,,name
šūpû,N,,resplendent one
šurbûtu,N,,formidable one
šurbûtu,N,,greatness
šurruhu,AJ,,splendid
šūši,NU,,sixty
šūt,DET,,those of,who(m)
šutamhuṣu,AJ,,constantly beating
šūturu,AJ,,supreme
tabāku,V,,pour out,pouring out
tabālu,V,,take away
tāhāzu,N,,battle
talālu,V,,draw
tamhāru,N,,battle
tamû,V,,swear
tanittu,N,,praise
tarāru,V,,tremble
tarbaṣu,N,,animal stall
târu,V,,repeat,return,take,turn
tāwītu,N,,utterance
têrtu,N,,command,commission,instruction
tiāmtu,N,,sea
tību,N,,attack
tibûtu,N,,attack
tukultu,N,,support,trusted one
tuqumtu,N,,assault,battle
ṭebû,V,,fall
ṭehû,V,,approach
ṭēmu,N,,direction,news,plan,reason
ṭīdu,N,,clay
ṭuppu,N,,tablet
ū,CNJ,,or
u,CNJ,,and
ubbuhu,AJ,,surrounded
uggatu,N,,rage
ul,MOD,,not
umma,PRP,,saying
ummu,N,,mother
ūmu,N,,day
ūmu,N,,storm(-demon)
unūtu,N,,equipment
urhu,N,,way
urrû,AJ,,aroused
ūru,N,,city
ūṣu,N,,arrow(head)
utlu,N,,lap
uznu,N,,ear,wisdom
uzzu,N,,anger
wabālu,V,,bring,launch
wadû,V,,assign,distinguish,identify
walādu,V,,give birth (to)
wālidu,N,,one who begets
warkatu,N,,rear
wâru,AJ,,approachable
wâru,V,,assign,command,commission
waṣbu,AJ,,swollen
waṣû,V,,go out,send out
wašbu,AJ,,seated
wāšibu,N,,inhabitant
watāru,V,,be(com)ing great
watmanu,N,,cella
zakāru,V,,say,speak
zamāru,V,,sing (of)
zanānu,V,,rain
zêru,V,,spurn
zikru,N,,name,utterance
zīmu,N,,face
ziqziqqu,N,,counterblast
zumru,N,,body
zūtu,N,,sweat
