bēlūtu,N,,lordship,rule
berâtu,N,,waters
berqu,N,,lightning (flash)
bēru,AJ,,distant
bēru,N,,double hour
bēru,AJ,,choice,selected
bêru,V,,choose
bērūtu,N,,mound
berûtu,N,,starvation
bibbu,N,,(a kind of wild sheep)
biblu,N,,(action of) bringing,desire,produce
bikītu,N,,weeping
biltu,N,,load,talent,tribute,yield
binītu,N,,appearance
bintu,N,,daughter
bīnu,N,,son,sprout
binûtu,N,,creation,product
biri-,PRP,,among
birīt,PRP,,between
birītu,N,,fetter
birītu,N,,alley,space between
birku,N,,knee
birmu,AJ,,multicoloured
birmu,N,,multicoloured cloth
birru,N,,lattice
birtu,N,,fort,fortifications
birtu,N,,riffraff
birtūtu,N,,function as fort
bīru,N,,divination
bišītu,N,,property
bīt mayyāli,N,,bedroom
bītānû,AJ,,inner
bitrû,V,,endure,stay permanently
bitrû,AJ,,enormous,prime quality
bītu,N,,container,house,room,temple
buʾʾû,V,,look for
buʾʾuru,N,,hunting
buʾāru,N,,good fortune,happiness
bubūtu,N,,axle
bubūtu,N,,starvation
buhlalû,N,,(an Elamite class of priests)
bukru,N,,son
bukurtu,N,,daughter
bulṭu,N,,health
būlu,N,,livestock
bunnannû,N,,image,physiognomy
bunnû,AJ,,beautified
bunnû,AJ,,beutified
būnu,N,,face,outward appearance
buppāniš,AV,,face down
buqlu,N,,malt
burāšu,N,,(species of) juniper
burgû,N,,(a type of offering)
bursaggû,N,,(a kind of offering)
būrtu,N,,cistern,well
būru,N,,(bull) calf
būru,N,,hunger
burūmû,N,,heaven
burzigallu,N,,big pursītu vessel
bussurtu,N,,message
bussuru,V,,send
buṣinnu,N,,wick
būṣu,N,,byssus
būṣu,N,,hyaena
bušlu,N,,melting,smelting
būšu,N,,goods
butuqtu,N,,breach
buṭnu,N,,terebinth
dāʾinu,N,,one who gives judgement
dāʾipu,N,,one who pushes away
dāʾišu,N,,crusher
daʾummatu,N,,gloom
dababtu,N,,talk
dabābu,V,,make speak,speak,stir up
dabābu,N,,talk,wording
dabbu,AJ,,speaking
dabdû,N,,bloodshed,defeat
dābibu,N,,one who speaks
dabû,N,,bear
dabûiš,AV,,like a bear
daddaru,N,,(a foetid plant)
dadmū,N,,settlements
dagālu,V,,entrust,make subject to,make watch,obey,seeing,show,wait
dāgilu,N,,one who obeys,one who sees
dahru,AJ,,angry
dakāku,V,,gambol
dâku,V,,defeat,kill,killing
dalālu,V,,praise,praising,singing praise
dalāpu,V,,constantly harass,harass
dalhu,AJ,,confused,troubled
dalhu,N,,(political) troubles,troubled one
dalīlu,N,,praise
dallu,AJ,,praised
dalpu,AJ,,restless
daltu,N,,door
dâlu,V,,move
dalû,N,,bucket
damāqu,V,,be(come) good,make propitious
dāmātu,N,,(a dark-yellow paste)
damdāmu,N,,(a kind of mule)
damqiš,AV,,well
damqu,AJ,,capable,good
damqu,N,,good fortune,good one,good thing(s)
dāmu,N,,blood
danāniš,AV,,by force
danānu,V,,making strong,prevail,strengthen,strengthening
danānu,N,,might
dandannu,AJ,,all-powerful
dandannu,N,,all-powerful one
dannatu,N,,cold weather,distress,fortified (place),fortress,foundation pit
danniš,AV,,very
dannu,AJ,,severe,strong
dannu,N,,heavy standard,strong one
dannūtu,N,,fortress,strength
dapīnu,AJ,,heroic
dapnu,AJ,,aggressive
daprānu,N,,juniper
daqāqu,V,,crush minutely
daraggu,N,,way
dāriš,AV,,for ever
dārišam,AV,,for ever
dārītu,N,,eternity
dārû,AJ,,eternal,for ever,lasting
dāru,N,,eternity
dāṣtu,N,,disrespect
dayyālu,N,,scout
dayyānu,N,,judge
dayyaštu,N,,threshing sledge
dayyiqu,N,,siege wall(s)
dayyiṣu,N,,one who disrespects
dēkû,N,,summoner
dekû,V,,collect,muster,raise up,raise,remove,stir up
diʾu,N,,(a disease affecting the head)
diʾu,N,,(deity's) throne-platform
diānu,V,,give judgement
diāšu,V,,trample,tread down
dibbu,N,,words
diglu,N,,(a mineral)
dīktu,N,,defeat,fighting,slaughter
dīku,AJ,,killed
dikuggallu,N,,chief justice
dikûtu,N,,levy
