form,pos,sense,lu
rabû,verb,be(come) big;be(come) great;be(come) superior;bring up;grow up;grow;increase;magnify;make big;make great;promote;raise (child),
rabû,adj,big;eldest;grand;great (individual);great (one);great one;great;large;magnate;old;promoted;severe;superior,
rabû,noun,adult woman;big one;magnate;noble,
rabû,verb,keep setting;set;set;setting;sunset,
rabû,,,LU
râbu,verb,quake;shake;tremble,
rabūšene,adv,three years ago,
radādu,verb,chase;persecute,
radāpu,verb,hasten;pursue;pursuit,
radāpu,,,LU
raddidu,noun,veil,
rādi gammali,noun,camel driver,
rādi imēri,noun,donkey driver,
rādi kibsi,noun,tracker,
rādi qāti,noun,adjutant,
rādiu,noun,(caravan) guide;follower;leader,
radpi,adv,immediately,
radpu,adj,pursued (person),
rādu,noun,cloudburst,
ragāmu,verb,call (out);claim;complain;cry out;prophesy,
ragāmu,,,LU
raggimtu,noun,(an oracle priestess);prophetess,
raggimtu,noun,prophetess,
raggimu,noun,prophet,
raggimu,noun,prophet,
raggu,adj,wicked (one),
rahāṣu,verb,be(come) drenched;cause to be(come) flooded;devastate;flood;wash,
rahāṣu,verb,move,
rahāṣu,verb,be(come) confident;encourage;make confident;trust,
rahāṣu,,,LU
rāhiṣu,noun,defeater,
rahṣu,adj,confident,
rahṣu,adj,devastated,
rahṣu,adj,drenched,
rahṣu,adj,flooded;torrential,
rahṣu,adj,destroyed,
rahṣu,,,LU
rakābu,verb,load;make someone mount (horse);mount;nock;ride,
rakāsu,verb,(meaning uncertain);attach;be(come) bound;be(come) girded;bind;binding;conclude (agreement);conclude;decree (offerings);decree;establish;fasten;gird;girding;make a ruling;place;prepare;set up;setting up;tie,
rakāsu,,,LU
rakbu,noun,rider;riding,
rakbu,adj,riding,
rākibu,noun,one who rides,
rakku,adj,(meaning unknown),
rakkubu,adj,mounted,
raksu,adj,bound;equipped;hitched;scheduled;set up;steady,
raksu,noun,conscript;recruit,
raksu,,,LU
ramāku,verb,bathe;soak;wash oneself;wash;washing oneself,
ramāku,noun,bathing,
ramāku,,,LU
ramānu,noun,self,
ramānu,,,LU
ramku,adj,washed,
rammû,adj,dropped;released troops;released,
rammû,,,LU
ramû,verb,released,
ramû,verb,(meaning uncertain);abandon;be(come) loose;drop;forsake;leave;let loose;release,
ramû,verb,settle,
ramû,adj,recumbent,
ramû,,,LU
râmu,noun,love,
râmu,verb,like;love;love;make love,
râmu,noun,one who loves,
râmu,verb,excuse;remit,
râmu,,,LU
rāmu,adj,(be)loved,
rapādu,verb,make roam;roam,
rapaštu,noun,haunch,
rapāšu,verb,be(come) broad;be(come) extended;enlarge;expand;extend;extension;increase;increase;make wide;spread wide;widen,
rapāšu,,,LU
rapāʾu,verb,(meaning unknown),
rappu,noun,hoop;pole?,
rapqu,adj,nailed,
rapšu,adj,broad;extensive;vast;wide,
rapšu,adj,broad one,
rapšu,,,LU
raqādu,verb,dance;make dance;toss?,
raqādu,,,LU
raqāqu,verb,roll out thin,
raqqaqu,adj,very thin,
raqqûtu,noun,spice(s),
raqû,adj,hidden,
raqû,verb,evade;hide?;shelter?,
rasābu,verb,smite,
rašādu,verb,establish,
raṣāpu,verb,build,
raṣāpu,,,LU
rašbu,adj,awe-inspiring,
rāsinu,noun,brewer,
rasmu,adj,hot-headed,
raṣpu,adj,built,
rašû,verb,(meaning uncertain);acquire;acquisition;arrange for someone to get;come to have;get;have;having;obtain constantly,
rašû,adj,having (something),
rašû,,,LU
rāšû,adj,acquired;affected,
rāšû,noun,creditor,
rāšû,adj,acquired,
rašubbatu,noun,terrifying splendour,
rašubbu,adj,awe-inspiring;awesome,
ratānu,verb,make whisper,
raṭbu,adj,moist,
rāṭu,noun,pipe,
raʾābu,verb,rage,
raʾbu,adj,(meaning uncertain);angry;raging,
rāʾimānu,noun,lover of;one who loves,
raʾīmu,adj,loved,
rāʾimu,adj,loving,
rāʾimu,noun,one who loves,
raʾsu,noun,chieftain,
rāʾunu,noun,(meaning unknown),
re'û,,,LU
rebītu,noun,square,
rebû,NU,fourth;one-fourth;quarter,
redû,verb,accompany;add to;add;addition;be(come) conscripted;be(come) driven?;be(come) guided;cause to lead;follow;lead;move,
redû,,,LU
rēdû,noun,guide,
rēdûtu,noun,leadership,
rēhtu,noun,leftovers;remainder;rest,
rehû,verb,pour,
rehû,,,LU
rēhu,adj,remaining;rest,
rēma rašû,,,LU
rēmēnû,adj,merciful (one);merciful,
rêmu,verb,pardon;spare,
rēmu,noun,compassion;mercy,
rêqu,verb,be(come) distant,
rêqu,,,LU
rēqu,adj,distant;unemployed,
rēqu,,,LU
rēštu,noun,first-fruits,
rēštû,adj,first quality;first-born;first-ranking;first;foremost,
rêṣu,,,LU
rēšu,noun,ahead of;atop of;beginning;best part;earlier;head;top quality;top,
rēšu,,,LU
rēṣu,noun,helper,
rēṣūtu,noun,aid,
rēʾî alpi,noun,oxherd,
rēʾî immeri,noun,shepherd,
rēʾî iṣṣūri,noun,gooseherd,
rēʾî naptini,noun,banquet shepherd,
rēʾî naptini,noun,shepherd of the cultic meal,
rēʾî šūkulti,noun,cattle herdsman,
reʾmu,noun,friend,
reʾû,verb,graze;shepherd,
rēʾû,noun,shepherd,
rēʾû-alpi,noun,bull herdsman,
rēʾûtu,noun,shepherdship,
riābu,verb,pay (compensation);replace,
riāhu,verb,leave behind;remain,
riāqu,verb,be(come) available;be(come) empty;be(come) free;cast (metal);make available,
riāqu,,,LU
riāšu,verb,rejoice,
rību,noun,earthquake,
rību,noun,compensation;substitute,
rību,noun,setting,
rību,noun,setting (of heavenly body),
riddu,noun,education,
ridpu,noun,pursuit,
ridûtu,noun,appropriation;succession,
riggatu,noun,injustice,
rigmu,noun,clamour;cry;noise;roar;rumour;shriek;thunder;voice,
rigmu,,,LU
rihṣu,noun,(meaning uncertain);devastation;flood(ing);flood,
rihûtu,noun,sperm,
rikibtu,noun,(meaning uncertain),
riksu,noun,agreement;band;bar;binding;bond;bundle;contract;ordinance;ritual arrangement;setting up;sinew,
riksu,,,LU
rimku,noun,ablution;bath,
rimṭu,noun,venereal disease,
rīmu,noun,(stone) bull;wild bull,
rīmu,,,LU
rīmūtu,noun,grant;reward,
ripittu,noun,straying,
ripītu,noun,(a kind of bread),
ripsu,noun,haze,
riqdu,noun,dance,
riqû,noun,(meaning uncertain),
rīqu,noun,aromatic plant;aromatic substance;aromatics;spice,
rīqu,adj,available;empty-handed person;empty;free;idle (man);unemployed person;unemployed,
rīqu,,,LU
rīqūtu,noun,emptiness;empty-handed,
riṣiptu,noun,revetment,
rīštu,noun,celebration;rejoicing,
rīšu,adj,jubilant;rejoiceful,
rīṣu,noun,assistance,
rittu,noun,(a kind of bread);fist;hand;handle;leg of donkey-mare;palm (of hand);wrist,
rîtu,noun,herbage?,
ruāqu,verb,elude,
rubātu,noun,princess,
rubbû,noun,interest,
rubbû,verb,interest,
rubû,noun,king;noble;nobleman;prince;ruler,
rūbu,noun,adulthood,
rūbu,noun,setting,
rubûtu,noun,princeliness,
rubūtu,noun,princess,
ruddû,,,LU
rukkusu,adj,attached,
rummû,adj,deserted,
rummû,,,LU
rupšu,noun,wide part;width,
rūqiš,adv,far away,
ruqqu,noun,cauldron;kettle,
ruqqu,noun,cavity (a part of the liver),
ruqqu,,,LU
rūqu,adj,deep;distance;distant;far-reaching;fathomless;profound,
ruššû,adj,shining,
ruṣṣunu,adj,resonant (one),
rušumtu,,,LU
ruṭbu,,,LU
ruṭibtu,noun,irrigated field,
rūṭu,noun,a unit of length,
ruʾāmu,noun,love,
ruʾtu,noun,spittle,
rūʾu,noun,friend,
ruʾubtu,noun,rage,
ša,DET,against;at;by;for;from;in;of;on;per;that of;those of;to;under;with,
ša,REL,that;the one who;those which;those who;those whose;what;when;where;which;who;whoever;whoever;whose,
ša lā,prep,without,
ša panīti,,,LU
ša pūtūni,,,LU
ša qurbūti,,,LU
ša rēši,,,LU
ša šēpī,,,LU
ša-arīti,noun,shield-bearer,
ša-bēt-kiṣri,noun,stock-room assistant,
ša-bēt-kūdini,noun,mule stable man,
ša-bēt-qiqî,noun,(profession),
ša-bēt-šaknūti,noun,(employee) of the house of the prefects,
ša-bēt-šēli,noun,(employee) of the left house,
ša-bēt-šumēli,noun,(employee) of the Left House,
ša-bēti-šanie,noun,domestic servant,
ša-billīšu,noun,alloy-worker?,
ša-bīrāti,noun,troops,
ša-bīt-kūdini,noun,mule stable man,
ša-bīti-šanê,noun,domestic servant,
ša-danāni,adv,by force,
ša-emdīšu,noun,incense-man,
ša-endīšu,noun,incenser,
ša-eperi,noun,(a textile;reading uncertain),
ša-epinni,noun,plowman,
ša-erêšu,noun,copper peddler,
ša-gabêšu,noun,alum maker,
ša-gaṣṣātēšu,noun,firewood peddler,
ša-gaṣṣātēšu,noun,firewood-man,
ša-ginēšu,noun,official in charge of the regular offering,
ša-halluptīšu,noun,clothing-dealer,
ša-halluptīšunu,noun,harness-maker,
ša-huppānīšu,noun,basket-dealer?,
ša-husīni,noun,husinnu-man,
ša-huṭāri,noun,staff-bearer,
ša-irti,noun,(a breast ornament),
ša-kallî,noun,express messenger,
ša-kāribi,verb,votive offering,
ša-karni,noun,(an implement;reading uncertain),
ša-kitturrīšu,noun,stool-man,
ša-kubšēšu,noun,hatter,
ša-kubšīšu,noun,hatter,
ša-kurrēšu,noun,seller of tanning fluid,
ša-libbi,noun,foetus,
ša-lišāni,noun,informer,
ša-maṣṣarti,noun,guard;prisoner,
ša-maʾāssi,noun,corral-man,
ša-muhhi-āli,noun,town overseer,
ša-muhhi-ālūtu,noun,office of town overseer,
ša-muhhi-bēt-Aššur,noun,warden of the temple of Aššur,
ša-muhhi-bēt-ilāni,noun,overseer of the temple,
ša-muhhi-bēti,noun,household overseer;overseer of the household,
ša-muhhi-bīt-šarri,noun,overseer of the royal residence,
ša-muhhi-bītāni,noun,chamberlain,
ša-muhhi-bīti,noun,overseer of the household,
ša-muhhi-huluhhi,noun,overseer of white frit,
ša-muhhi-kezrēti,noun,overseer of the 'coiffured women',
ša-muhhi-Ninua,noun,superintendent of Nineveh,
ša-muhhi-nīri,noun,(ornament for a yoke),
ša-muhhi-qanāti,noun,overseer of reeds,
ša-muhhi-šahūri,noun,warden of the anteroom,
ša-mušēzibti,noun,shield-bearer,
ša-mutqītēšu,noun,candy peddler,
ša-narkabti,noun,charioteer,
ša-pān-bābi,noun,gate supervisor,
ša-pān-bēt-qātī,noun,supervisor of the storehouse,
ša-pān-bēti,noun,temple supervisor,
ša-pān-bīt-ili,noun,temple supervisor,
ša-pān-dīnāni,noun,president of the court,
ša-pān-ēkalli,noun,palace supervisor,
ša-pān-manê,noun,accountant,
ša-pān-nērebi,noun,entrance supervisor,
ša-pān-pēthalli,noun,cavalry foreman,
ša-pān-ša-šadādi,noun,rickshaw supervisor,
ša-pān-sūqi,noun,supervisor of the streets,
ša-parāki,noun,(reading uncertain;a textile or piece of clothing),
ša-pattūti,noun,open chariot;open chariotry,
ša-pēthalli,noun,cavalry,
ša-pīlīšu,noun,limestone peddler,
ša-pīlūšu,noun,limestone dealer,
ša-qabli,noun,loincloth,
ša-qašti,noun,archer;bowman,
ša-qaštu,noun,bowman,
ša-qāti,noun,bowl for washing hands,
ša-qāti,noun,handkerchief,
ša-qurbūti,noun,(royal) confidant;close follower,
ša-rēš šarri,noun,royal eunuch,
ša-rēš-šarri,noun,royal eunuch,
ša-rēši,noun,eunuch,
ša-rēšūti,noun,status of a eunuch,
ša-rēšūtu,noun,office of eunuch,
ša-šadādi,noun,rickshaw,
ša-sāgātēšu,noun,belt-maker,
ša-salāʾi,noun,sprinkler,
ša-ṣallēšu,noun,leather-seller,
ša-šalputti,noun,(meaning uncertain),
ša-šarri,noun,king's people,
ša-šarri,noun,servant of the king,
ša-šēhi,noun,ecstatic priest,
ša-šēpi,noun,(kingʾs) personal guard,
ša-šērāti,adv,in the morning,
ša-ṣilli,noun,parasol,
ša-šīmi,noun,bought slave;man bought,
ša-tāmarti,noun,lens,
ša-tēlilti,noun,purification device,
ša-tēlissi,noun,purification device,
ša-UD.MEŠ,noun,(meaning and reading uncertain),
ša-urāni,noun,attendant of teams,
ša-uzni,noun,ear-man,
ša-ziqni,noun,bearded courtier,
ša-zizibēšu,noun,milkman,
ša-zubbi,noun,fly-whisk,
ša'ālu,,,LU
ša'āru,,,LU
šā'ilu,,,LU
ṣāb ēkalli,noun,palace personnel,
ṣāb qašti,noun,archer,
ṣāb šarri,noun,royal troops,
ṣāb šarrūti,noun,service in the royal troops,
ṣabābu,verb,teach to spread (wings),
ṣabābu,,,LU
ṣabāru,verb,make spin;spin,
ṣabāru,verb,twitter;twitter,
šabāsu,verb,be(come) angry,
šabāšu,verb,be(come) collected;collect;get together;pluck,
ṣabātu,verb,(meaning uncertain);be(come) collected;be(come) regarded;be(come) seized;capture;capture;clasping;conclusion;conquest;grasp;grasp;holding;make accept;make preparations;make seize;make take;make to take;occupy;prepare;provide;provision;seize;seizure;settle;take to;take;taking;undertake,
ṣabātu,,,LU
sabāʾu,verb,rock about;wag one's tail;wag oneʾs tail,
šabbasû,adj,irascible,
šabbiṭu,noun,sceptre,
sabbubu,noun,(a precious object),
šabbušu,adj,collected,
ṣābe qašti,noun,archer,
sabītu,noun,small harp,
ṣabītu,noun,gazelle,
ṣābitu,noun,holding,
ṣābitu,noun,catcher;keeper;one which holds;one who seizes,
šabsu,adj,angry (man);angry,
šabšu,adj,gathered together,
šabsūtu,noun,midwife,
ṣabtu,adj,captured,
ṣabtu,adj,arrested;attached;be(come) seized;captive;captured;grasped;held;kept in confinement;overlaid;prisoner;seized;taken,
sābû,noun,innkeeper,
šâbu,verb,sway,
ṣabu,,,LU
ṣabû,verb,desire;wish (for),
ṣabû,adj,wished for,
ṣābu,noun,army;men;people;troops,
ṣābu,,,LU
sabūbu,noun,(an ornament),
ṣad,noun,(meaning unknown),
šadādu,verb,(meaning uncertain);call in;dispel;drag;dragging;draw out;draw;endure;pull out;pull;tolerate;tow;transport,
šadāhu,verb,proceeding;procession,
šadālu,verb,enlarge,
šadânu,noun,haematite,
šadânu ṣābitu,noun,magnetite,
sadāru,verb,array;array;be(come) regular;do regularly;do systematically;line up;make regular;manoeuvre(s);place in order,
sadāru,,,LU
šaddaqda,adv,last year,
šaddattunu,noun,(meaning unknown),
saddinu,noun,satin,
šaddu,noun,chest;coffer,
šaddu,adj,taut,
ṣaddu,noun,sign,
šadê,noun,(a plant),
ṣadīdu,noun,(an aromatic);antimony,
sadirtu,noun,battle array,
sadīru,noun,regular offering?,
šadlu,adj,extensive,
sadru,adj,continual;correct;ordinary;placed in order;regular bread;regular;repeated,
sâdu,verb,slaying,
sādu,noun,(a gold alloy),
sādu,noun,pasture,
šadû,noun,east wind;east,
šadû,noun,mountain,
šadû,,,LU
ṣâdu,verb,melt (down),
ṣâdu,verb,whirl,
šagalûtu,noun,deportation,
šagāmu,,,LU
šagāšu,verb,be(come) annihilated;be(come) massacred,
šagāšu,,,LU
šaggaštu,noun,killing;murder;slaughter,
sagintu,noun,(meaning unknown),
šaglūtu,,,LU
sâgu,verb,be(come) displaced?,
sāgu,noun,sackcloth;sash,
sagullu,noun,herd,
šahāhu,verb,keep disintegrating,
šahāhu,verb,disintegrate;make fall out,
sahālu,verb,pierce,
sahālu,,,LU
šahālu,verb,filter,
šahānu,,,LU
sahāpu,verb,clamp;overwhelm,
sahāpu,,,LU
sahār ūmi,adv,in the evening,
saharšubbû,noun,leprosy,
šahartu,noun,legging(s),
saharu,noun,tower,
sahāru,verb,bring back;come back;encircle;exchange;give;go around and around;go around;keep going around;keep turning;repeat;retrograde;return;return;reverberate;seek out;turn around;turn away;turn back;turn over;turn;turn,
sahāru,,,LU
sahāšu,,,LU
šahātu,noun,corner,
šahātu,verb,rinse?;smear,
šahāṭu,verb,be(come) angry,
šahāṭu,verb,attack;cause to attack;jump (on);rise;shift,
šahāṭu,verb,make bricks;pull off;rinse (off);take off,
šahāṭu,,,LU
ṣahātu,verb,desire,
sāhertu,noun,heifer,
sahharu,noun,(an offering bowl);platter,
šahhû,noun,canvas?,
sahhurtu,noun,profit?,
šahilu,noun,(a garment),
šāhilu,noun,sieve,
sāhiru,noun,(part of a bed),
ṣahittu,noun,desire;valuables;wish,
šahītu,noun,sow,
ṣāhitu,noun,oil-presser,
sahliu,noun,cress,
šahluqtu,noun,destruction,
sahmaštu,noun,anarchy;rebellion,
sahru,adj,curved;returned;turned,
šahsasuttu,noun,reminder,
šahtu,adj,feared;humble,
šahṭu,adj,attacking,
šahṭu,adj,formed,
šahṭu,,,LU
ṣahtu,adj,desirous,
šahû,noun,boar;pig,
šāhu,noun,(a vessel),
ṣahurānūtu,noun,(time of) youth,
šahurratu,noun,deathly silence,
šahūru,noun,(anteroom),
sakāku,verb,block,
sakāku,,,LU
sakālu,verb,appropriate,
šakālu,verb,(meaning unknown),
sakannu,noun,band(?),
šakānu,verb,be(come) brought about;be(come) established;be(come) placed;be(come) put in place;be(come) put;cause;conclude;conclusion;encourage;establish;keep being placed;keeping;occur;place constantly;place;placement;placing;put on;put;putting down;reach agreement;set up;setting;settle;staging;take place,
šakānu,,,LU
sakāpu,verb,be(come) rejected;defeat;depose;drive back;fend off;overthrow;overthrow;reject,
šakartu,noun,drunkenness,
šakāru,verb,be(come) drunk,
sakātu,verb,be(come) silent,
šakātu,verb,dispatch,
sakikkû,noun,(diagnostic omen series);symptom(s),
sakīku,noun,silt,
šakin māti,noun,governor,
šakin ṭēmi,noun,commander,
šakin ṭēmūti,noun,commandership,
šakin ṭēmūti,noun,position of the governor,
šakintu,noun,governess,
šākiru,noun,drunkard,
šakkanakku,noun,(military) governor;representative,
sakkû,noun,(cultic rites),
šakkullu,noun,(a wood used for furniture?);willow?,
šakkulu,verb,wipe;wiping,
saklu,adj,simple;simpleton,
šaklu,adj,withheld,
šaknu,noun,appointee;governor;prefect;representative,
šaknu,adj,concluded;located;placed permanently;placed;set up,
šaknūtu,noun,office of prefect,
šakrānû,noun,drunk;drunkard,
sakru,adj,refined,
šakru,adj,drunkard,
saktu,adj,silent,
šalā'u,,,LU
ṣalā'u,,,LU
salāhu,verb,rain down,
šalāhu,verb,pull out;retrieve,
šalālu,verb,carry off;carrying off;deportation;loot;loot;plunder;plunder,
ṣalālu,verb,lie (down);sleep,
ṣalālu,,,LU
ṣalam šarri,noun,kingʾs statue,
šalamtu,noun,corpse,
šalamtu,,,LU
salāmu,verb,alliance;appease;be(come) at peace;be(come) reconciled;complete;make peace;peace;reconcile,
šalāmu,verb,be(come) compensated;be(come) favourable;be(come) healthy;be(come) reliable;be(come) safe;be(come) well;being peaceful;being well;come to pass;come true;compensate;complete;fulfil;greeting;heal;healing;health;implement;improve;intact state;keep in good condition;keep in health;keep safe;make sound;prosper;prosperity;recovery;retain;safeguard;succeed;survival;suspend;well-being,
šalāmu,noun,(whole) story,
šalāmu,,,LU
ṣalāmu,verb,being dark;make black,
šalânū-,prep,without,
šalāpu,verb,pull out,
šalāš,NU,three,
šalāšī-,adv,three times;three,
šalāšiu,NU,third,
šalāššatti,adv,two years ago,
salātu,verb,split,
šalāṭu,verb,claim authority;exercise authority;rule,
šalāṭu,,,LU
salāʾu,verb,deceive;lie,
salāʾu,verb,insult;lie,
salāʾu,verb,sprinkle about;sprinkle,
šalāʾu,verb,deceive,
ṣalāʾu,verb,put,
šalbābu,adj,raging,
salhu,adj,damp,
šalhû,noun,outer wall,
šalimtu,noun,safely;safety;well-being,
ṣalimtu,noun,black,
salīmu,noun,peace;peaceful message;reconciliation,
šāliptu,noun,(a utensil),
ṣaliptu,noun,treachery,
šālipu,noun,(a profession),
ṣalittu,noun,dark-blue wool,
salītu,noun,net?,
salītu,,,LU
šallaru,noun,mortar,
šallatu,noun,booty;captives;plunder,
sallu,noun,basket,
šallu,adj,taken prisoner,
ṣallu,noun,(animal-)skin,
ṣallu,adj,lying (down);sleeping person,
ṣallummû,noun,comet,
ṣallumu,noun,amulet of black wood,
šallūru,noun,plum (tree);plum,
šallutu,noun,state of captivity,
salmānu,noun,peacemaker?,
ṣalmāt qaqqadi,noun,black-headed people,
šalmiš,adv,in safety,
salmu,adj,ally;appeased;peaceful;reconciled,
šalmu,adj,complete;correct;favourable (case);favourable;healthy;honest;intact;normal;propitious;safe;sincere;sound;well-being;well;whole,
šalmu,,,LU
ṣalmu,adj,(meaning uncertain);black (goat);black (wool);black;dark,
ṣalmu,noun,effigy;figurine;image;representation;statue,
ṣalmu,,,LU
šalputtu,noun,destruction,
salqu,adj,boiled (meat);cooked meat,
salqu,noun,boiled (meat),
šalqu,adj,cut open,
šalšu,NU,one-third;the day after tomorrow;third-rate;third,
šalšūmi,adv,the day before yesterday,
šalšūtī-,adv,for the third time,
šalṭāniš,adv,victoriously,
šalṭiš,adv,haughtily;imperially,
šalṭu,adj,authoritative;authorized,
šalṭu,noun,bow-case;quiver,
ṣaltu,,,LU
ṣāltu,noun,argument;combat;dispute;fight;lawsuit,
salû,adj,despised,
šalû,verb,shoot;shooting off,
šalû,,,LU
šâlu,verb,ask;asking;consult;enquiry;keep asking,
ṣalû,adj,set up,
ṣâlu,verb,fight,
ṣâlu,,,LU
šalummatu,noun,divine splendour;radiance,
šalummatu,,,LU
šalummu,,,LU
šaluššani,adv,the year before last,
šaluštu,noun,third extispicy,
šamādu,verb,apply (ornaments),
ṣamādu,verb,harness;keep harnessing;tie up,
ṣamādu,,,LU
samāhu,verb,be(come) mixed;be(come) united;collaborate with;mix;unite,
šamāhu,verb,flourish,
šamāhu,,,LU
samāku,verb,act harshly;damage(?);make bad,
šamallû,noun,apprentice,
šamallûtu,noun,apprenticeship,
šamāmū,noun,heaven;heavens,
šamāru,verb,extol,
šamāru,verb,make rage,
ṣamāru,verb,striving (for),
Šamaš,DN,1,
Šamaš,,,LU
Šamaš-šumu-ukin,,,LU
šamaškillu,noun,shallot,
šamaššammū,noun,sesame oil;sesame,
šamātu,verb,mark (with sign of ownership),
šamātu,,,LU
šamāṭu,verb,tear away,
ṣamdu,adj,attached;harnessed,
šamhaṣu,adj,provoked to fight,
samhu,adj,mixed,
samīdu,noun,(a medicinal plant),
samiktu,noun,misdeed,
samītu,noun,revetment,
samku,adj,bad thing;bad;horrible thing;terrible thing;terrible,
šammahu,,,LU
šammi pašāri,noun,plant of release,
sammû,noun,harp;lyre,
šammu,noun,drug;grass;herb;plant(s),
šammu,,,LU
šammu-arku,noun,('long plant';a climbing plant),
šamnu,noun,oil,
šamnu,,,LU
šamnu ṭābu,noun,sweet-scented oil,
šamnu-ṭābu,noun,sweet oil,
šamru,adj,fierce;furious;fury;violent,
šamšānu,noun,sun-disc,
šamšatu,noun,sun disc,
šamšatu,noun,sun disk,
šamšu,noun,golden;sun,
šamšu,,,LU
sāmtu,noun,carnelian;dawn;redness,
šamṭu,adj,protruding pointedly,
samû,adj,obscure?,
samû,verb,(meaning uncertain);be(come) hard pressed;compromise;deviate;harass;hesitate;make inept;paralyse;vacillate,
sāmu,adj,red (horse);red?;red,
šamû,noun,heaven,
šamû,noun,heaven;sky,
šamû,,,LU
šâmu,verb,buy,
ṣamû,verb,make thirst for;thirst for,
ṣamû,,,LU
šamūtu,noun,rain,
šanā'u,,,LU
šanānu,verb,be(come) compared (with);equal;equal;rival with one another;rival;rivalry;vie,
šanānu,,,LU
sanāqu,verb,(meaning uncertain);approach;approach;check out;check;checking;come near;examine;interrogate;question,
sanbuku,noun,cluster,
šandabakku,noun,(canal) administrator;governor of Nippur,
šandabakkūtu,noun,governorship of Nippur,
šanduppu,noun,(an ornament);(an ornamental ring in stone),
šangammāhu,noun,exorcist,
sangilmud,noun,(a bluish stone),
šangû,noun,priest,
šangû,noun,priesthood,
šangû,,,LU
šangûtu,noun,priesthood,
šangûtu,noun,priesthood,
sanhulhazû,noun,(a demon),
šaniānu,adv,another time;for a second time;secondly,
šāninu,noun,rival;vying with,
šāninu,,,LU
sāniqu,noun,controller;inspector,
šanîš,adv,alternatively;ditto,
šanîš,adv,secondly,
šanītu,,,LU
sanqu,adj,narrow(?),
šanšānu,noun,solar disc,
šanṣuru,adj,put under guard,
santak,adv,constantly,
santakku,noun,cuneiform wedge,
santakku,,,LU
sanû,verb,(meaning unknown),
šanû,adj,(an)other one;(an)other;another matter;another one;another thing;changed;else;other one,
šanû,verb,be(come) changed;change;change,
šanû,verb,alienate;be(come) changed;be(come) different;change,
šanû,verb,change;do again;do for a second time;do twice;double;recount;relate;repeat;repetition,
šanû,NU,deputy (governor);deputy;double;following;next;second (quality);second extispicy;second(-size);second;secondly;two sets,
šanû,,,LU
šanunkatu,noun,princess,
šanûte,noun,deputyship,
šanûti-,adv,for the second time,
šanûtī-,adv,for the second time,
sapādu,,,LU
sapāhu,noun,be(come) scattered,
sapāhu,verb,be(come) dispersed;be(come) scattered;dispersal;disperse;dispersion;scatter,
sapāku,verb,seize,
sapāku,verb,be(come) caught,
šapāku,verb,heap up;lead away;pour on;treasure,
šapal,noun,under,
šapālu,verb,abase;abasement;be(come) depressed;be(come) low;bring down;dig deep;go deep;go down;humiliate;move downstream;stand low;suppress,
sapannu,noun,plain,
sapānu,verb,be(come) flattened;deface;devastate;wiping out,
sapāqu,verb,be(come) sufficient;suffice,
saparru,noun,cart;wagon,
šapartu,noun,pledge,
sapāru,noun,(deityʾs) net,
sapāru,,,LU
šapāru,verb,keep sending;keep writing;send constantly;send;sending;write,
šapāru,,,LU
ṣapāru,verb,(meaning uncertain);adornment,
šapāṣu,,,LU
šapāṭu,verb,punish,
šapāṭu,verb,sweep?,
saphu,adj,dispersed,
šaphu,adj,sprinkled,
šāpiku,noun,progenitor,
sapīnatu,noun,boat,
šāpiru,noun,administrator,
ṣāpiu,noun,dyer,
šapku,adj,piled up,
šaplānu,adv,below;below;underneath,
šaplānu,,,LU
šapliš,adv,below;downward(s),
saplišhu,noun,(a meat preparation),
šaplišhu,noun,(meaning unknown),
šaplītu,noun,lower part,
saplu,noun,bowl;vase,
šaplu,adj,low;lowly person;lowly,
šaplu,noun,after;below;below;beneath;bottom;lower part;secretly;under;under;underneath;underside,
šaplu,,,LU
šaplû,adj,lower (one);lower part;lower,
sapnu,noun,(meaning unknown),
sappāru,noun,mountain goat,
šappatu,noun,jar;jug,
šappu,noun,bowl,
šapputu,noun,jar,
šapru,noun,envoy;messenger,
šapru,noun,pledge,
šapru,adj,sent,
šapṣu,adj,recalcitrant;stern,
šaptu,noun,bank;edge;lip,
šaptu,,,LU
ṣapû,adj,drenched;dyed,
sapulhu,noun,(a container),
šapūlu,noun,(inner) thigh;groin,
ṣapūnu,noun,north,
šaqālu,verb,be(come) low?,
šāqītu,noun,female cupbearer,
šaqû,verb,ascend;be(come) advanced (said of the sun);be(come) high;exalt;exalt;exaltation;increase;raise;raise;rise (of sun);rise repeatedly;rise;rising,
šaqû,verb,give to drink;giving to drink;pour;pouring,
šaqû,adj,exalted (one);exalted;high-ranking person;high;risen (of sun),
šaqû,adj,given to drink,
šaqû,,,LU
šāqû,noun,butler;cupbearer,
šaqummatu,,,LU
šaqummiš,adv,silently,
šaqummu,,,LU
šār-erbetti,noun,four winds,
šar-pūhi,noun,substitute king,
šarābu,noun,(meaning unknown),
sarāhu,verb,destroy;meaning unknown,
šarāhu,verb,(meaning uncertain);glorify,
ṣarāhu,verb,be(come) hot;burn;burning;start to boil,
ṣarāhu,verb,heating,
ṣarāhu,,,LU
šarāku,verb,bestow;endow;give;giving;grant;present,
sarāmu,,,LU
sarāmû,noun,(part of a door),
šarāmu,verb,trim,
šarāmu,,,LU
ṣarāmu,verb,make an effort;plan;strive,
ṣarāmu,verb,strive,
šārānu,noun,empty talker,
šarāpu,verb,be(come) burnt;burn;burning,
ṣarapu,,,LU
ṣarāpu,verb,burn,
ṣarāpu,,,LU
