tlemma+rlemma+slemma,ruler,count
alāku+ina+pānu,Sargon II,2
šâlu+ina+muhhu,Ashurbanipal,2
alāku+ištu+libbu,Sargon II,2
šâlu+ina+libbu,Esarhaddon,2
alāku+ištu+muhhu,Tiglath-pileser III,2
nasāku+ina+muhhu,Ashurbanipal,2
tadānu+ina+libbu,Tiglath-pileser III,2
qabû+ina+pānu,Ashurbanipal,2
dabābu+ana+muhhu,Esarhaddon,2
qatû+ina+pānu,Esarhaddon or Ashurbanipal,2
tadānu+ina+libbu,Esarhaddon or Ashurbanipal,2
šapāru+ana+pānu,Sargon II,2
šapāru+ana+muhhu,Sargon II,2
qabû+ina+pû,Sennacherib,2
elû+ina+libbu,Esarhaddon,2
elû+ina+libbu,Tiglath-pileser III,2
šapāru+ina+libbu,Ashurbanipal,2
dabābu+ana+muhhu,Tiglath-pileser III,2
šapāru+ina+pānu,Sargon II,2
dagālu+ina+pānu,Esarhaddon,2
šalāmu+ina+qātu,Ashurbanipal,2
dabābu+ina+pānu,Ashurbanipal,2
bašû+ina+libbu,Ashurbanipal,2
buʾʾû+ina+qātu,Esarhaddon,2
bakû+ina+pānu,Esarhaddon or Ashurbanipal,2
šapāru+ana+ahu,Sargon II,2
qabû+ina+pānu,Sennacherib,2
elû+ina+qātu,Sennacherib,2
šapāru+ina+muhhu,Sargon II,2
bašû+ina+pānu,Ashurbanipal,2
qabû+ina+pānu,Tiglath-pileser III,2
bašû+ina+muhhu,Sennacherib,2
šapāru+ana+muhhu,Tiglath-pileser III,2
qerēbu+ana+muhhu,Sargon II,1
sahāru+ištu+muhhu,Tiglath-pileser III,1
qerēbu+ana+muhhu,Esarhaddon,1
qabû+ištu+libbu,Esarhaddon,1
sahāru+ina+pūtu,Esarhaddon,1
sahāru+ina+muhhu,Tiglath-pileser III,1
sahāru+ina+muhhu,Esarhaddon or Ashurbanipal,1
parāsu+ina+muhhu,Ashurbanipal,1
parsu+ina+muhhu,Esarhaddon,1
paršumu+ina+libbu,Ashurbanipal,1
patāqu+itti+libbu,Esarhaddon,1
parāsu+ina+libbu,Ashurbanipal,1
qabû+ana+muhhu,Sennacherib,1
sahāru+ištu+pānu,Sargon II,1
sakālu+ana+pānu,Ashurbanipal,1
paqādu+ina+muhhu,Sargon II,1
qerēbu+ina+libbu,Sargon II,1
tabālu+ina+pānātu,Esarhaddon or Ashurbanipal,1
paqādu+ina+pānu,Ashurbanipal,1
tabāku+ina+muhhu,Ashurbanipal,1
qerēbu+ana+pānu,Ashurbanipal,1
paqādu+ina+pānu,Esarhaddon or Ashurbanipal,1
paqādu+ina+pānu,Sargon II,1
paqādu+ina+pānu,Tiglath-pileser III,1
paqādu+ina+qātu,Tiglath-pileser III,1
paqādu+ištu+libbu,Sargon II,1
tabāku+ana+muhhu,Sennacherib,1
paqādu+ištu+muhhu,Ashurbanipal,1
sepēru+ina+libbu,Sargon II,1
paqādu+ištu+muhhu,Tiglath-pileser III,1
sarāqu+ina+muhhu,Esarhaddon,1
sapāqu+ištu+pānu,Esarhaddon,1
samāhu+ina+libbu,Tiglath-pileser III,1
salāʾu+ina+muhhu,Esarhaddon,1
sehû+ina+libbu,Esarhaddon,1
paṭāru+ina+libbu,Esarhaddon or Ashurbanipal,1
sahāru+ina+muhhu,Esarhaddon,1
ramû+ina+pānu,Esarhaddon or Ashurbanipal,1
ramû+ina+libbu,Tiglath-pileser III,1
rakāsu+ina+muhhu,Tiglath-pileser III,1
rakāsu+ina+muhhu,Esarhaddon,1
rakāsu+ana+pānu,Esarhaddon,1
rahāṣu+ina+pānu,Esarhaddon or Ashurbanipal,1
rahāṣu+ina+muhhu,Esarhaddon,1
rahāṣu+ana+muhhu,Sennacherib,1
rahāṣu+ana+muhhu,Sargon II,1
qabû+ina+muhhu,Sargon II,1
rabû+ina+muhhu,Esarhaddon,1
rabû+ana+šulmu,Sargon II,1
qabû+ina+muhhu,Esarhaddon or Ashurbanipal,1
petû+ina+pānu,Ashurbanipal,1
rabû+ana+muhhu,Esarhaddon,1
petû+ina+pānu,Esarhaddon or Ashurbanipal,1
qâlu+ina+muhhu,Esarhaddon or Ashurbanipal,1
qerēbu+ištu+pānu,Esarhaddon,1
qabû+ana+ahu,Ashurbanipal,1
qabû+ana+ahu,Tiglath-pileser III,1
ramû+ina+muhhu,Ashurbanipal,1
ramû+ina+qātu,Esarhaddon,1
sahāru+ana+pānu,Esarhaddon,1
raṣāpu+ina+libbu,Sargon II,1
sahāpu+ina+pānu,Ashurbanipal,1
pazāru+ištu+pānu,Esarhaddon or Ashurbanipal,1
pazāru+ištu+pānu,Sargon II,1
sahru+ina+muhhu,Ashurbanipal,1
paṭāru+ina+muhhu,Ashurbanipal,1
paṭāru+ištu+pānu,Esarhaddon,1
pehû+ina+pānu,Ashurbanipal,1
petû+ina+muhhu,Esarhaddon,1
petû+ina+pû,Ashurbanipal,1
sadāru+ina+pānu,Esarhaddon,1
sadru+ina+muhhu,Esarhaddon,1
râmu+ištu+rēšu,Ashurbanipal,1
riābu+ina+muhhu,Ashurbanipal,1
riābu+ina+libbu,Ashurbanipal,1
redû+ina+muhhu,Sargon II,1
qabû+ina+pû,Ashurbanipal,1
redû+ana+muhhu,Sennacherib,1
qabû+ina+muhhu,Tiglath-pileser III,1
raṣāpu+ina+muhhu,Tiglath-pileser III,1
qerēbu+ina+libbu,Tiglath-pileser III,1
abāku+ana+muhhu,Esarhaddon,1
tadānu+ina+muhhu,Esarhaddon or Ashurbanipal,1
šaṭāru+ištu+pû,Esarhaddon,1
šaṭāru+ina+libbu,Esarhaddon or Ashurbanipal,1
šaṭāru+ina+libbu,Ashurbanipal,1
šasû+ina+pānu,Tiglath-pileser III,1
šarāpu+ina+libbu,Ashurbanipal,1
šarāhu+ina+muhhu,Ashurbanipal,1
šapāru+ištu+libbu,Esarhaddon,1
šapāru+ina+qātu,Sargon II,1
šapāru+ina+pānātu,Tiglath-pileser III,1
šapāru+ina+pānu,Tiglath-pileser III,1
šapāru+ina+pû,Esarhaddon,1
šapāru+ina+libbu,Sargon II,1
šapāru+ina+libbu,Esarhaddon or Ashurbanipal,1
šapāru+ina+libbu,Esarhaddon,1
šapāru+ana+šulmu,Esarhaddon or Ashurbanipal,1
šapāru+ana+šulmu,Esarhaddon,1
šapāru+ana+šulmu,Ashurbanipal,1
šapāru+ana+pānu,Esarhaddon or Ashurbanipal,1
šapāru+ana+muhhu,Sennacherib,1
šapāru+ana+muhhu,Sargon II or Sennacherib,1
šapāru+ana+muhhu,Esarhaddon,1
šapāru+ana+libbu,Esarhaddon,1
šanû+ina+qātu,Ashurbanipal,1
šanû+ina+muhhu,Esarhaddon,1
šalāṭu+ana+muhhu,Esarhaddon,1
šalāpu+ina+pānu,Tiglath-pileser III,1
šalāmu+ina+qātu,Esarhaddon,1
šakānu+ištu+rēšu,Ashurbanipal,1
šaṭāru+ina+libbu,Sargon II,1
šemû+ana+muhhu,Esarhaddon,1
tadānu+ina+pānu,Tiglath-pileser III,1
šemû+ina+libbu,Esarhaddon,1
ṭiābu+ina+muhhu,Esarhaddon,1
ṣullû+ina+pānu,Esarhaddon,1
ṣullû+ina+libbu,Esarhaddon,1
ṣarāhu+ištu+pānu,Esarhaddon,1
ṣabātu+ištu+libbu,Tiglath-pileser III,1
ṣabātu+ina+rēšu,Tiglath-pileser III,1
ṣabātu+ina+qātu,Tiglath-pileser III,1
ṣabātu+ina+qātu,Esarhaddon or Ashurbanipal,1
ṣabātu+ina+pānu,Sennacherib,1
ṣabātu+ina+pānu,Esarhaddon or Ashurbanipal,1
ṣabātu+ina+pānu,Esarhaddon,1
ṣabātu+ina+libbu,Ashurbanipal,1
ṣabātu+ana+šēpu,Tiglath-pileser III,1
ṣabātu+ana+muhhu,Sargon II,1
šâṭu+ina+libbu,Esarhaddon,1
šâṭu+ina+libbu,Ashurbanipal,1
šâlu+ištu+pānu,Esarhaddon,1
šâlu+ina+pānu,Ashurbanipal,1
šuklulu+ištu+libbu,Esarhaddon,1
šemû+ištu+pānu,Esarhaddon or Ashurbanipal,1
šemû+ištu+muhhu,Sargon II,1
šemû+ištu+libbu,Ashurbanipal,1
šemû+ina+pānu,Sargon II,1
šemû+ina+pû,Sennacherib,1
šemû+ina+pû,Sargon II,1
šemû+ina+pû,Ashurbanipal,1
šemû+ina+muhhu,Ashurbanipal,1
šakānu+ina+šēpu,Sargon II,1
šakānu+ina+šēpu,Esarhaddon,1
šakānu+ina+rēšu,Esarhaddon,1
šakānu+ina+qātu,Tiglath-pileser III,1
wadû+ina+muhhu,Ashurbanipal,1
wadû+ina+libbu,Esarhaddon or Ashurbanipal,1
wadû+ana+muhhu,Tiglath-pileser III,1
wabālu+ina+pānu,Esarhaddon,1
wabālu+ina+muhhu,Esarhaddon,1
wabālu+ina+libbu,Sargon II,1
wabālu+ina+libbu,Esarhaddon or Ashurbanipal,1
wabālu+ana+pānu,Ashurbanipal,1
wabālu+ana+muhhu,Sennacherib,1
wabālu+ana+muhhu,Sargon II,1
wabālu+ana+muhhu,Esarhaddon,1
wabālu+ana+ahu,Tiglath-pileser III,1
urû+ina+muhhu,Ashurbanipal,1
upnu+ina+pūtu,Esarhaddon,1
târu+ina+pānu,Esarhaddon,1
târu+ina+muhhu,Sargon II,1
târu+ana+pānu,Sennacherib,1
târu+ana+muhhu,Sargon II,1
târu+ana+muhhu,Ashurbanipal,1
tebû+ana+muhhu,Sennacherib,1
tebû+ana+muhhu,Ashurbanipal,1
tamû+ina+pānu,Esarhaddon or Ashurbanipal,1
tamû+ina+libbu,Sargon II,1
tadānu+ištu+pānu,Tiglath-pileser III,1
tadānu+ištu+libbu,Tiglath-pileser III,1
tadānu+ištu+libbu,Sargon II,1
tadānu+ina+qātu,Sargon II,1
wadû+ištu+libbu,Esarhaddon,1
wadû+ištu+muhhu,Ashurbanipal,1
wadû+ištu+rēšu,Ashurbanipal,1
