term,LID,LID_old,non-lexeme,questionable,lexical_category,sense,Stem,Root,CDA_page,CDA_numeral,CAD_page,CAD_letter,RlA_page,AHw_page,FrayneStuckey_page,alternate_spelling,logogram,alternative_logogram,assyrian_dialect,sumerian_loanword,aramaic_loanword,west_semitic,hurrian_loanword
nakāpu,L1086839,L1086839,,,verb,push;thrust,G,,233,,,,,,,,DU₇,,,,,,
nakāsu,L1086840,L1086840,,,verb,"cut,fell",G,,233,,,,,,,,KUD,,,,,,
nakāšu,L1086841,L1086841,,,verb,set aside,G,,233,,,,,,,,,,,,,,
nakru,L1086842,L1086842,,,adj,strange;foreign;hostile,,,234,,,,,,,,KUR₂,,,,,,
naksu,L1086843,L1086843,,,adj,cut (off);slaughtered,,,234,,,,,,,,,,,,,,
nalšu,L1086844,L1086844,,,noun,(nocturnal) dew,,,234,,,,,,,,ŠEG₃,,,,,,
nâlu,L1086845,L1086845,,,verb,lie down,G,,235,,,,,,,niālu,NU₂,,,,,,
nammaštû,L1086846,L1086846,,,noun,"moving things,animals",,,236,,,,,,,,A.ZA.LU.LU;NIG₂.ZI.GAL₂,,,,,,
namzāqu,L1086847,L1086847,,,noun,key,,,237,,,,,,,,GIŠ.E₁₁,,,,,,
namzītu,L1086848,L1086848,,,noun,mash tub,,,237,,,,,,,,DUG.NIG₂.DUR₂.BUR₃,,,,,,
nannāru,L1086849,L1086849,,,noun,light (of the sky),,,237,,,,,,,,DINGIR.NANNA,,,,,,
napalsuhu,L1086850,L1086850,,,verb,prostrate oneself,N,,237,,,,,,,,,,,,,,
napālu,L1086851,L1086851,,,verb,dig out;demolish,G,,237,,,,,,,,,,,,,,
napaštu,L1086852,L1086852,,,noun,life;throat,,,238,,,,,,,napaltu;napšutu;napšatu,,,,,,,
napāšu,L1086853,L1086853,,,verb,"breathe,become wide",G,,238,,,,,,,,PEŠ₅;PA.AN,,,,,,
napāšu,L1086854,L1086854,,,verb,pluck,G,,238,,,,,,,,,,,,,,
Napiriša,L1086855,L1086855,,,pn,"Elam deity, possibly a moon god",,,,,,,9;163,,228,,,,,,,,
naprušu,L1086856,L1086856,,,verb,fly,N,,239,,,,,,,,DAL,,,,,,
naqāru,L1086857,L1086857,,,verb,demolish,G,,240,,,,,,,,,,,,,,
narāmu,L1086858,L1086858,,,noun,beloved,,,241,,,,,,,,,,,,,,
narkabtu,L1086859,L1086859,,,noun,chariot,,,242,,,,,,,,GIŠ.GIGIR,,,,,,
nāru,L1086860,L1086860,,,noun,musician;singer,,,242,,,,,,,,LU₂.NAR,,,,,,
nāru,L1086861,L1086861,,,noun,canal;river,,,242,,,,,,,,ID₂,,,,,,
našābu,L1086862,L1086862,,,verb,blow away,G,,245,,,,,,,,,,,,,,
nasāhu,L1086863,L1086863,,,verb,"tear out, draw out",G,,242,,,,,,,,ZI,,,,,,
našāku,L1086864,L1086864,,,verb,bite,G,,244,,,,,,,,ZU₂.KUD,,,,,,
našāru,L1086865,L1086865,,,verb,"deduct,reduce",G,,245,,,,,,,,,,,,,,
naṣāru,L1086866,L1086866,,,verb,guard;keep guard;keeping guard;look for;observe;protect;protection;watch,G,,244,,,,,,,,URU₃,,,,,,
nasāsu,L1086867,L1086867,,,verb,moan,G,,243,,,,,,,,,,,,,,
našāšu,L1086868,L1086868,,,verb,shake,G,,245,,,,,,,,,,,,,,
nashuru,L1086869,L1086869,,,noun,favourable attention,,,243,,,,,,,,,,,,,,
našru,L1086870,L1086870,,,noun,eagle,,,245,,,,,,,,,,,,,,
našû,L1086871,L1086871,,,verb,"lift,carry",G,,246,,,,,,,,IL₂,,,,,,
našû,L1086872,L1086872,,,adj,"lifted,carried",,,246,,,,,,,,,,,,,,
nâšu,L1086873,L1086873,,,verb,rock;shift,G,,246,,,,,,,,TUKU₄,,,,,,
naṭālu,L1086874,L1086874,,,verb,look at,G,,247,,,,,,,,IGI;IGI.DU₈;IGI.GAL₂,,,,,,
naṭû,L1086875,L1086875,,,verb,beat;flog,G,,247,,,,,,,,,,,,,,
naṭû,L1086876,L1086876,,,adj,suitable,,,247,,,,,,,,,,,,,,
nawāru,L1086877,L1086877,,,verb,be bright;shine,G,,247,,,,,,,,ZALAG₂,,,,,,
nazāzu,L1086878,L1086878,,,verb,make swIshing sound,G,,248,,,,,,,,,,,,,,
ne'û,L1086879,L1086879,,,verb,turn around,G,,251,,,,,,,,,,,,,,
nēbuhu,L1086880,L1086880,,,noun,belt,,,248,,,,,,,,TUG₂.IB₂.LA₂,,,,,,
nēhu,L1086881,L1086881,,,adj,calm;quiet,,,249,,,,,,,,,,,,,,
nekelmû,L1086882,L1086882,,,verb,glare at,N,,249,,,,,,,,,,,,,,
nēmelu,L1086883,L1086883,,,noun,profit,,,249,,,,,,,,A₂.TUKU,,nēmulu,,,,
nēmequ,L1086884,L1086884,,,noun,wisdom,,,249,,,,,,,,NAM.KU₃.ZU,,,,,,
nepelkû,L1086885,L1086885,,,verb,be wide,N,,250,,,,,,,nepalkû,,,,,,,
neqelpû,L1086886,L1086886,,,verb,glide;sail downstream,N,,250,,,,,,,,DIRI,,,,,,
nērāru,L1086887,L1086887,,,noun,aid,,,250,,,,,,,ne'rāru,ERIN₂.TAH₂,,,,,,
nêru,L1086888,L1086888,,,verb,kill,G,,250,,,,,,,,SAG.GIŠ.RA,,,,,,
nēšu,L1086889,L1086889,,,noun,lion,,,251,,,,,,,,UR.MAH;UR.A,,,,,,
Nineveh,L1086890,L1086890,,,pn,Capital of neo-assyrian empire,,,,,,,9;388,,,,,,,,,,
nīqu,L1086891,L1086891,,,noun,offering,,,254,,,,,,,,UDU.SISKUR₂;UDU.SISKUR,,,,,,
nīš ili,L1086892,L1086892,,,noun,oath on life of the gods,,,256,,,,,,,,,,,,,,
niṣirtu,L1086893,L1086893,,,noun,secret;treasure,,,255,,,,,,,,MUNUS.URU₃,,,,,,
nišû,L1086894,L1086894,,,noun,people,,,255,,,,,,,nīšû;nēšû,UN.MEŠ,,,,,,
nīšu,L1086895,L1086895,,,noun,(oath on the) life,,,256,,,,,,,,MU,,,,,,
nīšu,L1086896,L1086896,,,noun,glance (of favour);honour;lifting,,,256,,,,,,,,IL₂;ZI.GA,,,,,,
nuhšū,L1086897,L1086897,,,noun,abundance;prosperity,,,257,,,,,,,,HE₂.NUN,,,,,,
nūnu,L1086898,L1086898,,,noun,fish,,,258,,,,,,,,KU₆,,,,,,
pa'āṣu,L1086899,L1086899,,,verb,crush;break up,G,,260,,,,,,,pêṣu,,,,,,,
padû,L1086900,L1086900,,,verb,spare;set free,G,,260,,,,,,,,,,,,,,
pagālu,L1086901,L1086901,,,verb,be strong,G,,260,,,,,,,,,,,,,,
pagru,L1086902,L1086902,,,noun,body;corpse,,,261,,,,,,,,AD₆,,,,,,
pahādu,L1086903,L1086903,,,verb,be afraid,G,,260,,,,,,,,,,,,,yes,
pahāru,L1086904,L1086904,,,verb,assemble;gather,G,,261,,,,,,,,NIGIN,,,,,,
pahāru,L1086905,L1086905,,,noun,potter,,,261,,,,,,,,LU₂.BAHAR₂,,,L700735,,,
palāhu,L1086906,L1086906,,,verb,fear,G,,261,,,,,,,,MUD,,,,,,
palāsu,L1086907,L1086907,,,verb,look at,G,,261,,,,,,,,,,,,,,
palgu,L1086908,L1086908,,,noun,ditch,,,262,,,,,,,,PA₅,,,,,,
palû,L1086909,L1086909,,,noun,dynasty;period of office;regnal year;reign;staff,,,262,,,,,,,,BALA,,,L721514,,,
panātu,L1086910,L1086910,,,noun,front part,,,263,,,,,,,,IGI,,,,,,
panītu,L1086911,L1086911,,,noun,earlier time,,,263,,,,,,,,,,,,,,
panû,L1086912,L1086912,,,verb,face;be ahead,G,,263,,,,,,,,,,,,,,
pānu,L1086913,L1086913,,,noun,face;front,,,263,,,,,,,,IGI,,,,,,
pānû,L1086914,L1086914,,,adj,previous,,,263,,,,,,,,,,,,,,
paqādu,L1086915,L1086915,,,verb,"entrust,appoint",G,,264,,,,,,,,,,,,,,
paqdu,L1086916,L1086916,,,adj,appointed;entrusted,,,264,,,,,,,,,,,,,,
par'u,L1086917,L1086917,,,adj,sliced,,,267,,,,,,,,,,,,,,
parā'u,L1086918,L1086918,,,verb,sprout,G,,266,,,,,,,,,,,,,,
parā'u,L1086919,L1086919,,,verb,slice through,G,,266,,,,,,,parāhu,,,,,,,
parādu,L1086920,L1086920,,,verb,be scared,G,,264,,,,,,,,,,,,,,
parāku,L1086921,L1086921,,,verb,lay across;block,G,,265,,,,,,,parāhu,GIB,,,,,,
parāsu,L1086922,L1086922,,,verb,divide;decide,G,,265,,,,,,,,KUD,,,,,,
parīsu,L1086923,L1086923,,,noun,punting pole;rudder,,,266,,,,,,,,,,,,,,
parsu,L1086924,L1086924,,,adj,divided;decided,,,266,,,,,,,,,,,,,,
parṣu,L1086925,L1086925,,,noun,rites;cultic function,,,267,,,,,,,,GARZA;MAR.ZA,,,,,,
pašāhu,L1086926,L1086926,,,verb,cool down;rest,G,,268,,,,,,,,SED,,,,,,
pasāmu,L1086927,L1086927,,,verb,veil,G,,268,,,,,,,,,,,,,,
pašāqu,L1086928,L1086928,,,verb,be narrow;be difficult,G,,269,,,,,,,,,,,,,,
pašāru,L1086929,L1086929,,,verb,release;set free,G,,269,,,,,,,,BUR₂,,,,,,
pašāṭu,L1086930,L1086930,,,verb,erase,G,,269,,,,,,,,LAL,,,,,,
pašru,L1086931,L1086931,,,adj,released;undone,,,269,,,,,,,,BUR₂,,,,,,
paššuru,L1086932,L1086932,,,noun,table,,,270,,,,,,,,GIŠ.BANŠUR,,,L716960,,,
pāštu,L1086933,L1086933,,,noun,ax,,,270,,,,,,,,URUDU.DUR₁₀.TAB.BA,,,,,,
pašû,L1086934,L1086934,,,verb,exhale,G,,270,,,,,,,,,,,,,,
pāšu,L1086935,L1086935,,,noun,ax,,,270,,,,,,,,GIN₂,,,,,,
patālu,L1086936,L1086936,,,verb,twist,G,,270,,,,,,,,,,,,,,
patānu,L1086937,L1086937,,,verb,dine,G,,270,,,,,,,,,,,,,,
patānu,L1086938,L1086938,,,verb,become strong,G,,270,,,,,,,petēnu,,,,,,,
paṭāru,L1086939,L1086939,,,verb,loosen;release,G,,271,,,,,,,,DU₈,,,,,,
patru,L1086940,L1086940,,,noun,dagger;sword,,,270,,,,,,,,GIR₂,,,,,,
paṭru,L1086941,L1086941,,,adj,released;loosened,,,271,,,,,,,,,,,,,,
pāṭu,L1086942,L1086942,,,noun,border;limit,,,271,,,,,,,,ZAG,,,,,,
pazāru,L1086943,L1086943,,,verb,hide,G,,271,,,,,,,,,,,,,,
pehû,L1086944,L1086944,,,verb,close;block off,G,,272,,,,,,,,UŠ₂,,,,,,
pehû,L1086945,L1086945,,,adj,closed,,,272,,,,,,,,SAG.GI₄,,,,,,
pelludû,L1086946,L1086946,,,noun,cultic rites,,,272,,,,,,,billudû;pilludû,,,,L711404,,,
pelû,L1086947,L1086947,,,adj,red,,,272,,,,,,,,,,,,,,
pelû,L1086948,L1086948,,,verb,be red,G,,272,,,,,,,,,,,,,,
pelû,L1086949,L1086949,,,noun,egg,,,272,,,,,,,,NUNUZ,,,,,,
pēmtu,L1086950,L1086950,,,noun,charcoal,,,272,,,,,,,,NE,,,,,,
pēmu,L1086951,L1086951,,,noun,(upper) thigh,,,272,,,,,,,,HAŠ₂.GAL;UZU.UR₂,,,,,,
pērtu,L1086952,L1086952,,,noun,hair (of head),,,273,,,,,,,,,,,,,,
pesēnu,L1086953,L1086953,,,verb,cover up;veil,G,,273,,,,,,,,,,,,,,
peṣû,L1086954,L1086954,,,adj,white;bare,,,273,,,,,,,paṣ'u;paṣû,BABBAR,,,,,,
petû,L1086955,L1086955,,,adj,distant;open;spread out,,,273,,,,,,,,,,,,,,
petû,L1086956,L1086956,,,verb,open;open up,G,,273,,,,,,,,BAD,,,,,,
piāqu,L1086957,L1086957,,,verb,make narrow,G,,274,,,,,,,,,,,,,,
pīhātu,L1086958,L1086958,,,noun,province;responsibility;provincial governor,,,274,,,,,,,pāhātu,NAM,,,,,,
pilku,L1086959,L1086959,,,noun,demarcated zone;work assignment,,,274,,,,,,,,,,,,,,
pišannu,L1086960,L1086960,,,noun,box;chest,,,276,,,,,,,pisannu,GIŠ.PISAN;GI.PISAN,,,,,,
pitiltu,L1086961,L1086961,,,noun,cord,,,276,,,,,,,,ŠU.SAR,,,,,,
pû,L1086962,L1086962,,,noun,chaff;hay,,,277,,,,,,,pā'u;pīu,IN.BUBBU,,,,,,
pû,L1086963,L1086963,,,noun,mouth;word,,,277,,,,,,,pā'u;pīu,KA,,,,,,
puhādu,L1086964,L1086964,,,noun,lamb,,,277,,,,,,,,SILA₄,,,,,,
puhhu,L1086965,L1086965,,,verb,exchange,D,,277,,,,,,,,,,,,,,
puhhuru,L1086966,L1086966,,,adj,assembled,,,277,,,,,,,,,,,,,,
puhpuhhû,L1086967,L1086967,,,noun,brawl,,,277,,,,,,,,,,,,,,
puhru,L1086968,L1086968,,,noun,assembly,,,277,,,,,,,,UKKIN,,,,,,
pukkuru,L1086969,L1086969,,,verb,tie up,D,,278,,,,,,,,,,,,yes,,
pulukku,L1086970,L1086970,,,noun,needle;stake,,,278,,,,,,,,BULUG,,,,,,
pūtu,L1086971,L1086971,,,noun,forehead,,,278,,,,,,,,SAG.KI,,,,,,
pūtu,L1086972,L1086972,,,noun,opening,,,280,,,,,,,,,,,,,,
qablu,L1086973,L1086973,,,noun,battle;onslaught,,,281,,,,,,,,MURU₂,,,,,,
qablu,L1086974,L1086974,,,noun,hips;center,,,281,,,,,,,,MURU₂,,,,,,
qablu,L1086975,L1086975,,,noun,grove,,,281,,,,,,,,MURU₂,,,,,,
qabû,L1086976,L1086976,,,verb,say;command,G,,282,,,,,,,,DU₁₁,,,,,,
qadādu,L1086977,L1086977,,,verb,bend down,G,,282,,,,,,,,,,,,,,
qaddu,L1086978,L1086978,,,adj,bent down,,,282,,,,,,,,,,,,,,
qalāpu,L1086979,L1086979,,,verb,peel,G,,283,,,,,,,,,,,,,,
qalliš,L1086980,L1086980,,,adv,lightly,,,283,,,,,,,,,,,,,,
qallu,L1086981,L1086981,,,adj,light;slight,,,283,,,,,,,,QAL₃,,,,,,
qan ṭuppi,L1086982,L1086982,,,noun,writing reed,,,284,,,,,,,,GI.DUB.BA,,,,,,
qannu,L1086983,L1086983,,,noun,edge;border,,,284,,,,,,,,SI,,,,,,
qanû,L1086984,L1086984,,,noun,reed,,,284,,,,,,,,GI,,,,,,
qaqqadu,L1086985,L1086985,,,noun,head,,,284,,,,,,,,SAG.DU,,,,,,
qaqqaru,L1086986,L1086986,,,noun,ground,,,284,,,,,,,,KI,,,,,,
qarābu,L1086987,L1086987,,,noun,battle,,,285,,,,,,,,,,,,yes,,
qarāru,L1086988,L1086988,,,verb,writhe;grovel,G,,285,,,,,,,,,,,,,,
qarnu,L1086989,L1086989,,,noun,horn,,,285,,,,,,,,SI,,,,,,
qaštu,L1086990,L1086990,,,noun,archer;bow,,,286,,,,,,,,GIŠ.PAN,,,,,,
qatānu,L1086991,L1086991,,,verb,be thin;narrow,G,,286,,,,,,,,SIG,,,,,,
qatāru,L1086992,L1086992,,,noun,fumigant,,,286,,,,,,,,,,,,,,
qatāru,L1086993,L1086993,,,verb,smoke;be gloomy,G,,286,,,,,,,,,,,,,,
qatru,L1086994,L1086994,,,adj,smoky,,,286,,,,,,,,,,,,,,
qātu,L1086995,L1086995,,,noun,hand,,,287,,,,,,,,ŠU,,,,,,
qebēru,L1086996,L1086996,,,verb,bury,G,,287,,,,,,,qabāru,,,,,,,
qebēru,L1086997,L1086997,,,verb,burial;bury,G,,288,,,,,,,,KU.NU,,,,,,
qerû,L1086998,L1086998,,,verb,call;invite,G,,288,,,,,,,,,,qarā'u,,,,
qiāšu,L1086999,L1086999,,,verb,bestow,G,,289,,,,,,,,BA,,,,,,
qibītu,L1087000,L1087000,,,noun,command;prayer;speech,,,289,,,,,,,,DU₁₁.GA,,,,,,
qimmatu,L1087001,L1087001,,,noun,plume,,,289,,,,,,,,SUHUR,,,,,,
qinnatu,L1087002,L1087002,,,noun,butt,,,289,,,,,,,,GU.DU,,,,,,
qinnu,L1087003,L1087003,,,noun,nest,,,289,,,,,,,,GUD₃,,,,,,
qû,L1087004,L1087004,,,noun,thread,,,290,,,,,,,,GU,,,,,,
qû,L1087005,L1087005,,,noun,a unit of capacity (approx. 1 liter),,,290,,,,,,,,SILA₃,,,,,,
qu'û,L1087006,L1087006,,,verb,to wait,D,,298,,,,,,,,,,,,,,
quppu,L1087007,L1087007,,,noun,basket;box,,,291,,,,,,,,,,,,,,
qurbu,L1087008,L1087008,,,adj,near,,,291,,,,,,,,,,,,,,
qurbu,L1087009,L1087009,,,noun,neighbour;relative,,,291,,,,,,,,,,,,,,
qurbūtu,L1087010,L1087010,,,noun,closeness,,,291,,,,,,,,,,,,,,
qurdu,L1087011,L1087011,,,noun,heroic acts;heroism,,,291,,,,,,,,,,,,,,
qurpissu,L1087012,L1087012,,,noun,chainmail hood,,,291,,,,,,,,,,,,,,
ra'ābu,L1087013,L1087013,,,verb,tremble,G,,293,,,,,,,,,,,,,,
rabbu,L1087014,L1087014,,,adj,soft;gentle,,,294,,,,,,,,,,,,,,
rabû,L1087015,L1087015,,,verb,be big,G,,294,,,,,,,,GAL,,,,,,
rabû,L1087016,L1087016,,,adj,big,,,294,,,,,,,,GAL,,,,,,
rabû,L1087017,L1087017,,,noun,magnate,,,294,,,,,,,,,,,,,,
rabû,L1087018,L1087018,,,verb,set (of heavenly bodies),G,,294,,,,,,,,ŠU₂,,,,,,
radāpu,L1087019,L1087019,,,verb,pursue,G,,295,,,,,,,,,,,,,,
ragāmu,L1087020,L1087020,,,verb,shout;raise claim,G,,295,,,,,,,,KA.GA,,,,,,
rahāšu,L1087021,L1087021,,,verb,move,G,,295,,,,,,,,,,,,,,
rahāṣu,L1087022,L1087022,,,verb,flood;wash,G,,295,I,,,,,,,RA,,,,,,
rahāṣu,L1087023,L1087023,,,verb,trust,G,,295,II,,,,,,,,,,,,,
rahṣu,L1087024,L1087024,,,adj,drenched;destroyed,,,295,,,,,,,,,,,,,,
rakāsu,L1087025,L1087025,,,verb,bind,G,,296,,,,,,,,KEŠDA,,,,,,
raksu,L1087026,L1087026,,,adj,bound;tied;recruited,,,297,,,,,,,,LAL,,,,,,
ramāku,L1087027,L1087027,,,verb,bathe,G,,297,,,,,,,,TU₅,,,,,,
ramānu,L1087028,L1087028,,,noun,self,,,297,,,,,,,,,,ramunu,,,,
ramû,L1087029,L1087029,,,verb,slacken;become loose,G,,297,,,,,,,,,,ramā'u,,,,
ramû,L1087030,L1087030,,,verb,throw down,G,,297,,,,,,,,RI,,,,,,
ramû,L1087031,L1087031,,,verb,settle,G,,,,,,,,,,,,,,,,
ramû,L1087032,L1087032,,,adj,slack;released,,,297,,,,,,,,,,,,,,
râmu,L1087033,L1087033,,,noun,love,,,297,,,,,,,ra'āmu,,,,,,,
râmu,L1087034,L1087034,,,verb,love,G,,297,,,,,,,,AG₂,,ra'āmu,,,,
râmu,L1087035,L1087035,,,verb,endow,G,,298,,,,,,,,,,,,,,
rapāšu,L1087036,L1087036,,,verb,be wide,G,,298,,,,,,,,DAGAL,,,,,,
rapšu,L1087037,L1087037,,,adj,wide,,,298,,,,,,,,DAGAL,,,,,,
raqādu,L1087038,L1087038,,,verb,dance,G,,298,,,,,,,,,,,,,,
raṣāpu,L1087039,L1087039,,,verb,build,G,,299,,,,,,,,,,,,,,
rašû,L1087040,L1087040,,,verb,acquire,G,,300,,,,,,,,TUKU,,,,,,
re'û,L1087041,L1087041,,,verb,shepherd;pasture,G,,303,,,,,,,,SIPA,,,,,,
redû,L1087042,L1087042,,,verb,accompany;lead;drive,G,,301,,,,,,,,UŠ,,,,,,
rehû,L1087043,L1087043,,,verb,pour;have intercourse with,G,,301,,,,,,,,,,,,,,
rēma rašû,L1087044,L1087044,,,verb phrase,have mercy,,,302,,,,,,,,,,,,,,
rēmu,L1087045,L1087045,,,noun,womb;compassion,,,301,,,,,,,,ARHUŠ,,,,,,
rêqu,L1087046,L1087046,,,verb,be(come) distant,G,,302,,,,,,,,,,,,,,
rēqu,L1087047,L1087047,,,adj,distant;unemployed,,,302,,,,,,,,,,,,,,
rêṣu,L1087048,L1087048,,,verb,help,G,,302,,,,,,,,,,,,,,
rēšu,L1087049,L1087049,,,noun,head;beginning;slave,,,302,,,,,,,,SAG,,,,,,
riāqu,L1087050,L1087050,,,verb,be empty;be unemployed,G,,303,,,,,,,,SUD,,,,,,
rigmu,L1087051,L1087051,,,noun,roar,,,304,,,,,,,,GU₃,,,,,,
riksu,L1087052,L1087052,,,noun,bond;bundle;contract;assemblage;sinew,,,304,,,,,,,,DUR;KEŠDA,,,,,,
rīmu,L1087053,L1087053,,,noun,wild bull,,,305,,,,,,,,AM,,,,,,
rīqu,L1087054,L1087054,,,noun,aromatic substance,,,305,,,,,,,,ŠIM,,,,,,
rīqu,L1087055,L1087055,,,adj,empty;unemployed,,,305,,,,,,,,SUD,,,,,,
ruddû,L1087056,L1087056,,,adj,added to;increased,,,306,,,,,,,,,,,,,,
rummû,L1087057,L1087057,,,adj,released;slackened,,,307,,,,,,,,,,,,,,
ruqqu,L1087058,L1087058,,,noun,cauldron;kettle,,,307,,,,,,,,URUDU.ŠEN,,,,,,
ruqqu,L1087059,L1087059,,,noun,thinness;thin place;thin part of liver,,,307,,,,,,,,SAL.LA,,,,,,
rušumtu,L1087060,L1087060,,,noun,wet mud,,,308,,,,,,,,,,,,,,
ruṭbu,L1087061,L1087061,,,noun,dampness,,,308,,,,,,,,,,,,,,
ruṭibtu,L1087062,L1087062,,,noun,dampness,,,308,,,,,,,,KI.DURU₅,,,,,,
ša qurbūti,L1087063,L1087063,,,noun,bodyguard,,,291,,,,,,,,,,,,,,
ša rēši,L1087064,L1087064,,,noun,eunuch,,,302,,,,,,,,LU₂.SAG,,,,,,
ša šēpē,L1087065,L1087065,,,adj,personal,,,367,,,,,,,,,,,,,,
ša'ālu,L1087066,L1087066,,,verb,ask,G,,352,,,,,,,ša'ālu,,,,,,,
šā'ilu,L1087067,L1087067,,,noun,dream interpreter,,,348,,,,,,,,LU₂.ENSI,,,,,,
ṣabābu,L1087068,L1087068,,,verb,flutter,G,,330,,,,,,,,,,,,,,
ṣabātu,L1087069,L1087069,,,verb,seize;hold,G,,330,,,,,,,,DAB,,,,,,
ṣābu,L1087070,L1087070,,,noun,people;troops,,,331,,,,,,,,LU₂.ERIN₂;LU₂.ERIN₂.MEŠ,,,,,,
sadāru,L1087071,L1087071,,,verb,place in order;do regularly,G,,310,,,,,,,sedēru,,,,,,,
šadû,L1087072,L1087072,,,noun,east wind;east,,,345,,,,,,,,IM.KUR.RA;IM.3,,,,,,
šadû,L1087073,L1087073,,,noun,mountain,,,345,,,,,,,šaddû,,,,,,,
šagalūtu,L1087074,L1087074,,,noun,deportation,,,345,,,,,,,,,,,,,,
šagāmu,L1087075,L1087075,,,verb,roar,G,,345,,,,,,,,GU₃.DE₂,,,,,,
šagāšu,L1087076,L1087076,,,verb,kill,G,,345,,,,,,,šakāšu,,,,,,,
sahālu,L1087077,L1087077,,,verb,pierce,G,,310,,,,,,,,,,,,,,
šahānu,L1087078,L1087078,,,verb,be hot,G,,346,,,,,,,,,,,,,,
sahāpu,L1087079,L1087079,,,verb,envelop;overwhelm,G,,311,,,,,,,,ŠU₂,,,,,,
sahāru,L1087080,L1087080,,,verb,go around;turn;search,G,,311,,,,,,,,NIGIN,,,,,,
sahāšu,L1087081,L1087081,,,verb,catch in a net,G,,311,,,,,,,,,,,,,,
šahāṭu,L1087082,L1087082,,,verb,be(come) angry,G,,347,,,,,,,,,,,,,,
šahāṭu,L1087083,L1087083,,,verb,jump on;attack,G,,346,,,,,,,,GU₄.UD,,,,,,
šahāṭu,L1087084,L1087084,,,verb,tear away;tear down,G,,347,,,,,,,,,,,,,,
šahāṭu,L1087085,L1087085,,,verb,wash off;rinse,G,,346,,,,,,,šahātu,,,,,,,
šahṭu,L1087086,L1087086,,,adj,stripped,,,347,,,,,,,,,,,,,,
sakāku,L1087087,L1087087,,,verb,block,G,,312,,,,,,,,,,,,,,
šakānu,L1087088,L1087088,,,verb,place;set down,G,,348,,,,,,,,GAR,,,,,,
šalā'u,L1087089,L1087089,,,verb,do wrong,G,,351,,,,,,,,,,,,,,
ṣalā'u,L1087090,L1087090,,,verb,throw down;lay down,G,,332,,,,,,,ṣalû,,,,,,,
ṣalālu,L1087091,L1087091,,,verb,lie (down);sleep,G,,332,,,,,,,,NU₂,,,,,,
šalamtu,L1087092,L1087092,,,noun,corpse,,,350,,,,,,,,AD₆,,,,,,
šalāmu,L1087093,L1087093,,,verb,be healthy;be intact,G,,350,,,,,,,,DI,,,,,,
šalāmu,L1087094,L1087094,,,noun,well-being,,,350,,,,,,,,DI,,,,,,
šalāṭu,L1087095,L1087095,,,verb,rule;be in authority,G,,351,,,,,,,,,,,,,,
salītu,L1087096,L1087096,,,noun,net,,,314,,,,,,,,,,,,yes,,
šalmu,L1087097,L1087097,,,adj,intact;healthy,,,351,,,,,,,,DI,,,,,,
ṣalmu,L1087098,L1087098,,,adj,black,,,332,,,,,,,,GI₆,,,,,,
ṣalmu,L1087099,L1087099,,,noun,image;representation;statue,,,332,,,,,,,,ALAN;NU,,,,,,
ṣāltu,L1087100,L1087100,,,noun,combat,,,333,,,,,,,,DU₁₄,,,,,,
šalû,L1087101,L1087101,,,verb,shoot;cast away,G,,352,,,,,,,,,,,,,,
ṣâlu,L1087102,L1087102,,,verb,fight,G,,333,,,,,,,,,,,,,,
šalummatu,L1087103,L1087103,,,noun,divine splendour;radiance,,,352,,,,,,,,SU.LIM;SU.ZI,,,,,,
šalummu,L1087104,L1087104,,,adj,radiant,,,352,,,,,,,,,,,,,,
ṣamādu,L1087105,L1087105,,,verb,tie up;yolk,G,,333,,,,,,,,LAL;LAL₂,,,,,,
šamāhu,L1087106,L1087106,,,verb,flourish,G,,352,,,,,,,,,,,,,,
Šamšu,L1087107,L1087107,,,pn,sun god;sun,,,354,,,,,,,šamšu;šanšu;šaššu,DINGIR.UTU;2(u),,,,,,
šamātu,L1087108,L1087108,,,verb,mark (with sign of ownership),G,,353,,,,,,,,,,,,,,
šammahu,L1087109,L1087109,,,adj,very prosperious,,,353,,,,,,,,,,,,,,
šammu,L1087110,L1087110,,,noun,drug;grass;herb;plant(s),,,353,,,,,,,,U₂,,,,,,
šamnu,L1087111,L1087111,,,noun,oil,,,354,,,,,,,,I₃.GIŠ,,,,,,
šamû,L1087112,L1087112,,,noun,heaven;sky,,,354,,,,,,,,AN,,,,,,
ṣamû,L1087113,L1087113,,,verb,be thirsty,G,,333,,,,,,,,,,,,,,
šanā'u,L1087114,L1087114,,,verb,block off,G,,355,,,,,,,,,,,,,,
šanānu,L1087115,L1087115,,,verb,equal;rival,G,,354,,,,,,,,SA₂,,,,,,
šangû,L1087116,L1087116,,,noun,priest,,,355,,,,,,,,LU₂.SANGA,,,,,,
šangūtu,L1087117,L1087117,,,noun,priesthood,,,355,,,,,,,,,,,,,,
šāninu,L1087118,L1087118,,,noun,rival;of equal birth,,,355,,,,,,,,ZAG.DU,,,,,,
šanītu,L1087119,L1087119,,,noun,second time,,,355,,,,,,,,,,,,,,
šanītu,L1087120,L1087120,,,noun,something other,,,355,,,,,,,,,,,,,,
santakku,L1087121,L1087121,,,noun,cuneiform wedge,,,316,,,,,,,,SAG.DU₃,,,,,,
Aššur-bani-apli,L1087161,L1087161,,,pn,king of Assyria (r. 669-631 BCE),,,,,,,,,,,DINGIR.AN.ŠAR₂.DU₃.A,,,,,,
