iškuru,noun,L940667
salīmu,noun,L940686
binātu,noun,L940702
aluzinnu,noun,L941098
šeršerru,noun,L942031
turminû,noun,L942036
lemnu,adjective,L1086739
kallatu,noun,L942772
kuzbānu,noun,L942879
zizānu,noun,L1000857
kakkartu,noun,L958875
tāmartu,noun,L960872
gerru,noun,L1086518
nakāru,verb,L1093727
rīqu,adjective,L1087055
būdu,noun,L998576
apkallu,noun,L744177
šīmtu,noun,L744375
šēdu,noun,L744399
edinu,noun,L744419
ikkaru,noun,L744517
epinnu,noun,L744647
pulukku,noun,L1086970
tabiltu,noun,L745348
argānu,noun,L748880
argukku,noun,L748881
rīṣu,noun,L748889
ibru,noun,L748940
šurānu,noun,L748942
kinûnu,noun,L748944
hurru,noun,L748947
nahallu,noun,L748976
qarītu,noun,L749253
nahbalu,noun,L749593
qadû,noun,L749963
sahargû,noun,L972976
agru,noun,L983342
mihṣu,noun,L996117
unītu,noun,L996171
narbû,noun,L997088
kimṣu,noun,L997158
dillatu,noun,L997476
šarru,adjective,L1093392
ṣertu,noun,L744388
apluhtu,noun,L744395
dēpu,noun,L744513
ṭuppu,noun,L744541
arkatu,noun,L744548
ṣāltu,noun,L744685
ālu,noun,L1086299
arhu,adjective,L1086319
turāhu,noun,L745370
alluttu,noun,L745392
assukku,noun,L745896
kinburru,noun,L746130
tappinnu,noun,L748859
nušû,noun,L748871
anzahhu,noun,L748874
kummu,noun,L748912
kapru,noun,L748920
eṭemmu,noun,L1086502
kakkû,noun,L748945
uhūlu,noun,L749001
šēnu,noun,L749223
eqbu,noun,L749808
diqāru,noun,L749837
purkullu,noun,L750245
qerbetu,noun,L908081
ṣēru,noun,L908087
arūtu,noun,L908134
dabašinnu,noun,L908449
imdu,noun,L745373
dulbu,noun,L745378
aptu,noun,L745897
lummû,noun,L746144
asû,noun,L746290
muqippu,noun,L748019
dulûtu,noun,L748863
kannu,noun,L748891
mākisu,noun,L748906
titennu,noun,L748932
šēpu,noun,L748946
kabšarru,noun,L748954
gugallu,noun,L748956
tāpalu,noun,L749177
