term,LID,non-lexeme,questionable,lexical_category,sense,CDA_page,CAD_page,RlA_page,AHw_page,FrayneStuckey_page,alternate_spelling,logogram,alternative_logogram,assyrian_dialect,sumerian_loanword,aramaic_loanword,west_semitic
qurpissu,,,,noun,chainmail hood,291,,,,,,,,,,,
ra'ābu,,,,verb,tremble,293,,,,,,,,,,,
rabbu,,,,adj,soft;gentle,294,,,,,,,,,,,
rabû,,,,verb,be big,294,,,,,,GAL,,,,,
rabû,,,,adj,big,294,,,,,,GAL,,,,,
rabû,,,,noun,magnate,294,,,,,,,,,,,
rabû,,,,verb,set (of heavenly bodies),294,,,,,,ŠU₂,,,,,
radāpu,,,,verb,pursue,295,,,,,,,,,,,
ragāmu,,,,verb,shout;raise claim,295,,,,,,KA.GA,,,,,
rahāšu,,,,verb,move,295,,,,,,,,,,,
rahāṣu,,,,verb,flood;wash,295,,,,,,RA,,,,,
rahāṣu,,,,verb,trust,295,,,,,,,,,,,
rahṣu,,x,,adj,confident,,,,,,,,,,,,
rahṣu,,,,adj,drenched;destroyed,295,,,,,,,,,,,
rakāsu,,,,verb,bind,296,,,,,,KEŠDA,,,,,
raksu,,,,adj,bound;tied;recruited,297,,,,,,LAL,,,,,
ramāku,,,,verb,bathe,297,,,,,,TU₅,,,,,
ramānu,,,,noun,self,297,,,,,,,,ramunu,,,
rammû,,x,,adj,slack;released,,,,,,,,,,,,
ramû,,,,verb,slacken;become loose,297,,,,,,,,ramā'u,,,
ramû,,,,verb,throw down,297,,,,,,RI,,,,,
ramû,,,,verb,settle,,,,,,,,,,,,
ramû,,,,adj,slack;released,297,,,,,,,,,,,
râmu,,,,noun,love,297,,,,,ra'āmu,,,,,,
râmu,,,,verb,love,297,,,,,,AG₂,,ra'āmu,,,
râmu,,,,verb,endow,298,,,,,,,,,,,
rapāšu,,,,verb,be wide,298,,,,,,DAGAL,,,,,
rapšu,,,,adj,wide,298,,,,,,DAGAL,,,,,
raqādu,,,,verb,dance,298,,,,,,,,,,,
raṣāpu,,,,verb,build,299,,,,,,,,,,,
rašû,,,,verb,acquire,300,,,,,,TUKU,,,,,
rašû,,x,,adj,having (something),,,,,,,,,,,,
re'û,,,,verb,shepherd;pasture,303,,,,,,SIPA,,,,,
redû,,,,verb,accompany;lead;drive,301,,,,,,UŠ,,,,,
rehû,,,,verb,pour;have intercourse with,301,,,,,,,,,,,
rēma rašû,,,,verb phrase,have mercy,302,,,,,,,,,,,
rēmu,,,,noun,womb;compassion,301,,,,,,ARHUŠ,,,,,
rêqu,,,,verb,be(come) distant,302,,,,,,,,,,,
rēqu,,,,adj,distant;unemployed,302,,,,,,,,,,,
rêṣu,,,,verb,help,302,,,,,,,,,,,
rēšu,,,,noun,head;beginning;slave,302,,,,,,SAG,,,,,
riāqu,,,,verb,be empty;be unemployed,303,,,,,,SUD,,,,,
rigmu,,,,noun,roar,304,,,,,,GU₃,,,,,
riksu,,,,noun,bond;bundle;contract;assemblage;sinew,304,,,,,,DUR;KEŠDA,,,,,
rīmu,,,,noun,wild bull,305,,,,,,AM,,,,,
rīqu,,,,noun,aromatic substance,305,,,,,,ŠIM,,,,,
rīqu,,,,adj,empty;unemployed,305,,,,,,SUD,,,,,
ruddû,,,,adj,added to;increased,306,,,,,,,,,,,
rummû,,,,adj,released;slackened,307,,,,,,,,,,,
ruqqu,,,,noun,cauldron;kettle,307,,,,,,URUDU.ŠEN,,,,,
ruqqu,,,,noun,thinness;thin place;thin part of liver,307,,,,,,SAL.LA,,,,,
rušumtu,,,,noun,wet mud,308,,,,,,,,,,,
ruṭbu,,,,noun,dampness,308,,,,,,,,,,,
ruṭibtu,,,,noun,dampness,308,,,,,,KI.DURU₅,,,,,
ša panīti,,x,,,,,,,,,,,,,,,
ša pūtūni,,x,,,,,,,,,,,,,,,
ša qurbūti,,,,noun,bodyguard,291,,,,,,,,,,,
ša rēši,,,,noun,eunuch,302,,,,,,LU₂.SAG,,,,,
ša šēpē,,,,adj,personal,367,,,,,,,,,,,
ša'ālu,,,,verb,ask,352,,,,,ša'ālu,,,,,,
šā'ilu,,,,noun,dream interpreter,348,,,,,,LU₂.ENSI,,,,,
ṣabābu,,,,verb,flutter,330,,,,,,,,,,,
ṣabātu,,,,verb,seize;hold,330,,,,,,DAB,,,,,
ṣābu,,,,noun,people;troops,331,,,,,,LU₂.ERIN₂;LU₂.ERIN₂.MEŠ,,,,,
sadāru,,,,verb,place in order;do regularly,310,,,,,sedēru,,,,,,
šadû,,,,noun,east wind;east,345,,,,,,IM.KUR.RA;IM.3,,,,,
šadû,,,,noun,mountain,345,,,,,šaddû,,,,,,
šagalūtu,,,,noun,deportation,345,,,,,,,,,,,
šagāmu,,,,verb,roar,345,,,,,,GU₃.DE₂,,,,,
šagāšu,,,,verb,kill,345,,,,,šakāšu,,,,,,
sahālu,,,,verb,pierce,310,,,,,,,,,,,
šahānu,,,,verb,be hot,346,,,,,,,,,,,
sahāpu,,,,verb,envelop;overwhelm,311,,,,,,ŠU₂,,,,,
sahāru,,,,verb,go around;turn;search,311,,,,,,NIGIN,,,,,
sahāšu,,,,verb,catch in a net,311,,,,,,,,,,,
šahāṭu,,,,verb,be(come) angry,347,,,,,,,,,,,
šahāṭu,,,,verb,jump on;attack,346,,,,,,GU₄.UD,,,,,
šahāṭu,,,,verb,tear away;tear down,347,,,,,,,,,,,
šahāṭu,,,,verb,wash off;rinse,346,,,,,šahātu,,,,,,
šahṭu,,,,adj,stripped,347,,,,,,,,,,,
sakāku,,,,verb,block,312,,,,,,,,,,,
šakānu,,,,verb,place;set down,348,,,,,,GAR,,,,,
šalā'u,,,,verb,do wrong,351,,,,,,,,,,,
ṣalā'u,,,,verb,throw down;lay down,332,,,,,ṣalû,,,,,,
ṣalālu,,,,verb,lie (down);sleep,332,,,,,,NU₂,,,,,
šalamtu,,,,noun,corpse,350,,,,,,AD₆,,,,,
šalāmu,,,,verb,be healthy;be intact,350,,,,,,DI,,,,,
šalāmu,,,,noun,well-being,350,,,,,,DI,,,,,
šalāṭu,,,,verb,rule;be in authority,351,,,,,,,,,,,
salītu,,,,noun,net,314,,,,,,,,,,yes,
šalmu,,,,adj,intact;healthy,351,,,,,,DI,,,,,
ṣalmu,,,,adj,black,332,,,,,,GI₆,,,,,
ṣalmu,,,,noun,image;representation;statue,332,,,,,,ALAN;NU,,,,,
ṣāltu,,,,noun,combat,333,,,,,,DU₁₄,,,,,
šalû,,,,verb,shoot;cast away,352,,,,,,,,,,,
ṣâlu,,,,verb,fight,333,,,,,,,,,,,
šalummatu,,,,noun,divine splendour;radiance,352,,,,,,SU.LIM;SU.ZI,,,,,
šalummu,,,,adj,radiant,352,,,,,,,,,,,
ṣamādu,,,,verb,tie up;yolk,333,,,,,,LAL;LAL₂,,,,,
šamāhu,,,,verb,flourish,352,,,,,,,,,,,
Šamšu,,,,pn,sun god;sun,354,,,,,šamšu;šanšu;šaššu,DINGIR.UTU;2(u),,,,,
Šamaš-šumu-ukin,,x,,pn,,,,,,,,,,,,,
šamātu,,,,verb,mark (with sign of ownership),353,,,,,,,,,,,
šammahu,,,,adj,very prosperious,353,,,,,,,,,,,
šammu,,,,noun,drug;grass;herb;plant(s),353,,,,,,U₂,,,,,
šamnu,,,,noun,oil,354,,,,,,I₃.GIŠ,,,,,
šamû,,,,noun,heaven;sky,354,,,,,,AN,,,,,
ṣamû,,,,verb,be thirsty,333,,,,,,,,,,,
šanā'u,,,,verb,block off,355,,,,,,,,,,,
šanānu,,,,verb,equal;rival,354,,,,,,SA₂,,,,,
šangû,,,,noun,priest,355,,,,,,LU₂.SANGA,,,,,
šangūtu,,,,noun,priesthood,355,,,,,,,,,,,
šāninu,,,,noun,rival;of equal birth,355,,,,,,ZAG.DU,,,,,
šanītu,,,,noun,second time,355,,,,,,,,,,,
šanītu,,,,noun,something other,355,,,,,,,,,,,
santakku,,,,noun,cuneiform wedge,316,,,,,,SAG.DU₃,,,,,
