term,LID,non-lexeme,questionable,lexical_category,sense,CDA_page,CAD_page,RlA_page,AHw_page,FrayneStuckey_page,alternate_spelling,logogram,alternative_logogram,assyrian_dialect,sumerian_loanword,aramaic_loanword,west_semitic
eṣēru,L1086499,,,verb,design;draw,81,,,,,,,,,,,
eššēšu,L1086500,,,noun,(a feast day),83,,,,,,,,,,,
Etana,L1086501,,,pn,epic literary figure,,,2;481,,,,,,,,,
eṭemmu,L1086502,,,noun,ghost,84,,,,,,,,,,,
etēqu,L1086503,,,verb,bring over;carry out;cross over;crossing;execute;forward;get moved by;go past;ignore continually;let avert;let exercise;let go by;make pass by;make pass on;make pass;making pass by;making pass by;march;move past;pass by;pass on;pass;passing on;passing;perform;prevention;proceed;sweep;sweeping;traverse,84,,,,,,,,,,,
eṭēru,L1086504,,,verb,pay off,85,,,,,,,,,,,
eṭēru,L1086505,,,verb,be(come saved);be(come) saved;rescue;save;take away,85,,,,,,,,,,,
ewû,L1086506,,,verb,become,85,,,,,,,,,,,
ezēhu,L1086507,,,verb,gird on,85,,,,,,,,,,,
gabadibbu,L1086118,,,noun,parapet,87,,,,,,GABA.DIB,,,,,
gadāmu,L1086508,,,verb,cut off,87,,,,,,,,,,,
gadmu,,x,,adj,cut off,,,,,,,,,,,,
gāgu,L1086509,,,noun,necklace,88,,,,,,,,,,,
gallû,L1086510,,,noun,(a demon),88,,,,,,,,,,,
galû,L1086511,,,verb,be(come) deported;deport;emigrate;exile;send into exile;smuggle,88,,,,,,,,,,,
gamāru,L1086512,,,verb,be(come) finished;be(come) used up;come to an end;complete;completion;do to the full;finish off;finish;finishing;perfect,89,,,,,,,,,,,
garāru,L1086513,,,verb,"writhe,grovel,roll",90,,,,,qarāru,,,,,,
gaṣāṣu,L1086514,,,verb,grind,91,,,,,kaṣāṣu;kazāzu,,,,,,
gaṣṣu,L1086515,,,adj,murderous,91,,,,,,,,,,,
gaṣṣu,L1086516,,,adj,disfigured;severed;trimmed,91,,,,,,,,,,,
gaṣṣu,L1086517,,,noun,gypsum,91,,,,,,,,,,,
gerru,L1086518,,,noun,(military) campaign;road,92,,,,,,,,,,,
gerû,L1086519,,,verb,argue;claim;contest;initiate;quarrel;start a lawsuit,92,,,,,,,,,,,
gidimmu,L1086520,,,noun,ladle,92,,,,,,,,,,,
Gilgameš,L1086521,,,pn,legendary Mesopotamian hero,,,3;357,,,,,,,,,
Gimir,L1086522,,,pn,Cimmerians,,,3;376,,,,,,,,,
ginû,L1086523,,,noun,ordinary;regular offering,93,,,,,,,,,,,
gipāru,L1086524,,,noun,resident of entu in temple,93,,,,,,,,,,,
girru,L1086525,,,noun,fire;fire-god,93,,,,,gīru,,,,,,
